Card ID,Name,Alternate Name,Render Type,Game,Cycle,Card Size,Found In,Tech Type,Tech Sub-Type,Flavor (Project),Requirements,Leads To,Cycle-locked?,Flavor (Tech),Central Icon,Abilities,FAQ,Errata
AA0035,Pursuer Problem,,Technology,Odyssey,Cycle I,Standard,,Structural,,That creature does not tire nor rest. It will not stop hunting us. We need time to figure out how to kill it,"Pursuer Sighting, Shallows Navigation",—,FALSE,"Engines grow silent though the Argo still moves, like Charon's boat",,Stealth Drive: Gain +1 @ArgoFate during Adversary Activation to lower the Adversary movement by 1 (to a minimum of 0). This does not stop Adversary from spawning!,,
AA0036,Peace,,Technology,Odyssey,Cycle I,Standard,,Structural,,It's never too late to reconcile your differences,"At War, lose 1 Titan, Diplomatic Relations",—,TRUE,"And with an offering, let past grievances fade away",,Peace Talks: Immediate. Choose 1 Faction you are At War with and immediately set your Diplomacy Score with this Faction to '-8'. This ability ignores the normal restrictions of the 'At War' Diplomacy Threshold,,
AA0037,Anti-Indoctrination Philosophy,,Technology,Odyssey,Cycle I,Standard,,Structural,,"The message of the Labyrinthians is insidious, as it takes root in fear and fear is constant. We must guard against it",Rhetoric,"Hope Logic, Deeply Embedded Spies",FALSE,The Philosopher Guards quickly became a beacon around which the discourse of Purpose flourished,,Philosopher Guards: Gain +1 @ArgoFate to test Diplomacy (7+). Success: Chosen Argonaut discards a Despair token.; Maze Exorcism: Lose -1 Priest to make one Argonaut lose the Mazetouched Affliction,,
AA0038,Hope Logic,,Technology,Odyssey,Cycle I,Standard,,Structural,,For nothingness does not exist without Purpose to which it stands in opposition. It fears it and tries to douse it with doubt,Anti-Indoctrination Philosophy,—,FALSE,"And in that moment it betrays its weakness. For if there was no Hope of Purpose prevailing, why go to such lengths to silence it? Hope",,"Font Infinite: Save. Gain +1 @ArgoFate when you are about to gain @Doom during the Voyage or Adventure Phase to test (X+), where X is 9 minus the number of your current Doom card.<<NL>>*Success:* Lower this @Doom gain by 1 (to a minimum of 0)",,
AA0039,Argo Onboarding,,Technology,Odyssey,Cycle I,Standard,,Structural,,"Without proper parts and equipment, we cannot bring the ship to its full potential. But we are learning","@ArgoKnowledge 5+, lose 1 Titan, Shallows Navigation",—,FALSE,There are certain things we can do to minimize the impact hull damage has on our voyage,,"Reinforced Hull: Immediate. Gain +1 @Hull.; Daedalus Workshop: Permanent. During the Exploration Step, if the _Argo_ is on an unexplored Map tile with the @DaedalusWorkshop symbol, gain +1 @Hull.; Emergency Repairs: Save. Gain +1 @ArgoFate when you are about to lose @Hull during the Voyage or Adventure Phase to test (X+), where X is 3 plus your current @Hull value.<<NL>>*Success:* Lower this @Hull loss by 1 (to a minimum of 0)",,
AA0040,Deeply Embedded Spies,,Technology,Odyssey,Cycle I,Standard,,Structural,,The news of our exploits brings hope to many. Some want to repay that renewed sense of purpose and help our cause,"45+ explored Map tiles, Anti-Indoctrination Philosophy, Intelligence Gathering",—,TRUE,Along our journey we made a difference for a lot of people and that selflessness pays out in dividends,,Theseus Web: Gain +2 @ArgoFate when the _Argo_ is on an explored Map tile with the @Progress symbol to test Diplomacy (7+).<<NL>>*Success:* Gain +1 @Progress,,
AA0041,Excursion Propylon II,,Technology,Odyssey,Cycle I,Standard,,Structural,,These Primordials are getting too much to handle. The Argo must rise to the challenge,Shallows Navigation,—,FALSE,The rebuilt Propylon will allow the Argo a far greater presence during battles,,Argo Support II: Permanent. AA Limit: 3,,
AA0042,Mnestis Thesis,Argonaut Mausoleum,Technology,Odyssey,Cycle I,Tarot,Secret Deck 01,Structural,,"These glimpses we're having, these past lives... there must be an easier way to access them",@ArgoKnowledge 6+,—,FALSE,"From here we rise and to here we are brought when we cease to be. There are answers in this chamber, only thing we need to do is listen",,"Reflect: Gain +1 @ArgoFate and write an Argonaut's name on the Timeline (event), 7 days from now. You cannot use this ability again until you resolve this event. When you resolve this event, the Argonaut gains +1 Mnemos Node for a chosen Mnemos card",,
AA0043,Minoan Investigations,,Technology,Odyssey,Cycle I,Standard,,Structural,,"We need to follow up on these loose threads, who knows where they can lead us..",Rhetoric,—,TRUE,Regular scouting expeditions are starting to bear fruit,,Scout Reports: Permanent. You may re-roll your Adventure Hubs Table roll (once),,
AA0044,Titan Hunting,,Technology,Odyssey,Cycle I,Standard,,Structural,,"There's only a handful of Titans onboard the Argo. If we are meant to survive, we need to... procure more","Titanogenesis, Rhetoric",Titan Rearing,FALSE,"Only philosophers are able to subdue wild Titans and bring them to the Argo, but they refuse to share their secrets",,Titanokinigos: Immediate. Add the [Untamed Titan|AB0108] Exploration card to the Exploration deck.; Expedition: Gain +1 @ArgoFate when the Argo is on a Map tile with @Titan symbol to test Diplomacy (7+). Success: Gain +1 Titan,,
AA0045,Titan Rearing,,Technology,Odyssey,Cycle I,Standard,,Structural,,A set of rules and practices that will allow us to house more Titans effectively,Titan Hunting,—,FALSE,"With the new practices in place, we can expand our Titan roster",,"Titan Stoa Capacity II: Permanent. Titan Limit: 15.; Comeback: If you win a Battle that you started with less than 4 Titans, after the Battle gain +X @ArgoFate to gain as many Dreamwalker Titans as to have a total of 4 Titans in the Stoa. X is the number of Titans gained",,
AA0046,Archeolinguistics,Centimanes Glyphs,Technology,Odyssey,Cycle I,Tarot,Secret Deck 01,Structural,,These symbols are not merely decorative...,@ArgoKnowledge 2+,—,FALSE,"It is a language, long forgotten. With time, we may learn to decipher it",,"Centimanes Glyphs: Permanent. @CentimanesOne is 'one'.<<NL>>During your Voyages, you will encounter other glyphs that will help you decode the Centimanes Scripts (sequences of glyphs) and find the secret Centimanes paragraphs in the Main Story. These will be denoted by a @ThumbsUp at the beginning of the paragraph. If the paragraph doesn't show this symbol, you must've made a mistake in your decoding -- don't read it! If that's the case, gain +1 @ArgoFate",,
AA0047,Advanced Trading Solutions,,Technology,Odyssey,Cycle I,Standard,,Structural,,"Remember the old saying: ""You do not win a war with swords. You win it with bread.""",Trading Solutions,Superior Trading Solutions,TRUE,Your agents arrive in town before the Argo and lay the groundwork for successful negotiations,,"Trade Agents: Permanent. First time you use a Negotiation Ability each day, you may ignore its associated @ArgoFate gain",,
AA0048,Crew Expansion,,Technology,Odyssey,Cycle I,Standard,,Structural,,"A lot of the men and women who joined us on Kephallonia have died or departed. If we don't replace them, we'll soon command a ship of ghosts",Trading Solutions,Advanced Crew Expansion,TRUE,"There's a lot of people who enlist only for the promise of a roof over their head and a bowl of warm soup. We need to watch them closely, for they may prove flighty",,Port Recruitment: City Negotiation. Gain +1 @ArgoFate and +1 @Strangers to gain +1 @Crew,,
AA0049,Advanced Crew Expansion,,Technology,Odyssey,Cycle I,Standard,,Structural,,We need to send out recruiters who actively look for volunteers to our cause,Crew Expansion,—,TRUE,"Each time only a few brace to join our ranks. The most determined, strong-willed and driven. We wouldn't have it any other way",,Minoan Security Protocols: Save. Gain +1 @ArgoFate when you are about to lose @Crew during the Voyage or Adventure Phase to test (Diplomacy 7+).<<NL>>*Success:* Lower this @Crew loss by 1 (to a minimum of 0),,
AA0050,Superior Trading Solutions,,Technology,Odyssey,Cycle I,Standard,,Structural,,Argo is a big ship. A floating city. It's time to bring commerce to us,Advanced Trading Solutions,—,TRUE,,,Porta of Strangers: Trading,,
AA0051,Spark of the Dead Gods,Forlorn Naos,Technology,Odyssey,Cycle I,Tarot,Secret Deck 01,Structural,,"The gods may be dead, but they left plenty of evidence of their existence and passing",@ArgoKnowledge 4+,—,FALSE,"In this temple to the fleeting memory of tyrannous idols, fates are shaped and powers seized",,"Godforms: Permanent. From now on you can Awaken! (See Rulebook). When you gain a Godform, note it on the Argo Sheet in the Godforms section.; Bend Fate: Lose -1 Priest to lose -1 @ArgoFate",,
AA0052,Strange Alliance,Nymph Adyton,Technology,Odyssey,Cycle I,Tarot,Secret Deck 01,Structural,,"The Olympians are dead, their Mount razed and their cults scattered. Howbeit, nature abhors a vacuum",@ArgoKnowledge 3+,—,FALSE,"The Nymphs are completely alien to us, their motives unknown and unscrupulous. Yet they may be bargained with...",,Mythic Allies: Permanent. You can summon Nymphs (see Rulebook). Summon Limit: 1.; Hymn of the New: Gain +1 @Doom and lose -2 Priests to regain a spent Summon Charge.; Gain +2 @ArgoFate and +2 @Doom to regain a spent Summon Charge,,
BA0982,Forgotten Knowledge,Last Academy,Technology,Odyssey,Cycle II,Tarot,Secret Deck 06,Structural,Core,"The Last Tome has much to teach us still, its one and only page, written in phos scripture, divulges new information each time it is used",—,—,FALSE,"Here the philosophers and academicians conduct their research, pouring over dusty tomes and phos scriptures",,"Forgotten Knowledge: Reference. When you start a new Cycle II campaign, tak eall of the Combat and Structural Technology cards you have researched and remove all that have the 'Cycle I only' tag. You won't need those in Cycle II. Note that you will also have a very limited use of Cycle I Production Facilities, so you may remove these cards too. Permanent. Crew Limit: 8, Hull Limit: 5. (You cannot gain @Crew or @hull if they would exceed this limit.)",,
BA0983,Argo's Mission,Bridge Tholos,Technology,Odyssey,Cycle II,Tarot,Secret Deck 06,Structural,Core,"Your time on Crete has changed you, you now have a purpose. To bring hope and peace to a post-Eschaton world",—,—,TRUE,From here the Argonauts shape their fate and steer the mighty Argo towards its victory,,Visiting Traders: Trading,,
BA1003,Nietzschean Sighting,,Technology,Odyssey,Cycle II,Standard,,Combat,,"The Spartan summons and controls the Nietzschean monster, seemingly at will and from thin air",Nietzschean LVL 1 Battle,Nietzschean Meeting Study,FALSE,,,"Crippled Titans: Reference. If a Titan is crippled, it is not killed. It still takes space in the Titan Stoa, but you cannot junction with it in Battle, use it for Titan Breeding, or lose it as a penalty for any reason",,
BA1007,Temenos Project,Labyrinthian Mine,Technology,Odyssey,Cycle II,Tarot,Secret Deck 06,Structural,Core,"Temenos was a formidable foe. Even in death, his body retains transformative properties and his maze shell is harder than stone",—,—,TRUE,"In one of the vast holds of the Argo, the carcass of Temenos is mind for valuable resources. The pit of despair transformed into a font of hope",,"Labyrinthian Mine: The Exploration deck has several cards showing your mining efforts. These cards award you with Temenos Primordial resources.<<NL>>If you are on Story 2A or further, during Advancement Steop you may trade these resources for War Triremes (any number of times):<<NL>>1 Maze Fragment <<>> 1 War Trireme<<NL>>1 Fear Essence <<>> 1 War Trireme",,
BA1019,Argo Works II,Grand Agora,Technology,Odyssey,Cycle II,Tarot,Secret Deck 06,Structural,Core,"Alkibiades Argo Works is the living, beating heart of the ship. This is where dreams become reality",—,"Mobile Trade Fleet Dock, Canal Reconnaissance, Argo Security",TRUE,"To stand a chance against the Primordials, the smiths and priests of the Argo work tirelessly on new types of gear and new engineering solutions",,"Abyss Power: Reference. When instructed to apply Ascendency rules, all Gear cards with a Power Level lower than II (and without the Ascended keyword) incur the following penalties for the remainder of the Cycle:<<NL>>(Weapons only) When you attack with this weapon, you cannot use any tokens from the Kratos Pool or place any tokens in the Kratos Pool.<<NL>>You do not benefit from {Power Re-roll X}.<<NL>>Increase all @Fate cost on the card by 1.<<NL>>(Armor and Shield only) -1 @Potential on Armor Roll<<NL>>-1 Evasion re-roll @EvasionReroll (to a minimum of 0)<<NL>>-1 Evasion bonus @Evasion (to a minimum of 0)",,
BA1020,Titanomorphosis,Titan Stoa,Technology,Odyssey,Cycle II,Tarot,Secret Deck 06,Structural,Core,"As we learn more about the Titans and their tendencies, we unlock some of their hidden potential: we call it Argo Breeding",—,"Titan Breeding, Spartan Investigations, Political Protection",FALSE,"Here the Titans are tamed and stored when not in use. Some call this place a warehouse, some call it a prison",,"Titanomorphosis: Reference. Unlike Fused Titans, Titans created through Titan Breeding don't require a Primordial Core, unless it is specifically stated.; Titan Stoa Capacity II: Permanent. Titan Limit: 15",,
BA1021,Mnestis Theater,,Technology,Odyssey,Cycle II,Standard,Secret Deck 04,Structural,,A chamber in which a user can experience an illusory physical environment could be the greatest of training rooms,@ArgoKnowledge 20+,Nymph Studies,FALSE,What would Plato say of us now? Shadows casting shadows?,,Mnestis Applications: Permanent. You've unlocked the Mnestis Theatre,,
BA1022,Nymph Studies,,Technology,Odyssey,Cycle II,Standard,,Structural,,"We know the Nymphs can be persuaded to help our cause, it's just a matter of finding out the best way to appease them",,,FALSE,Do they have a stake in this game? Or are we mere playthings?,,Adyton Extension: Permanent. Summon Limit: 2,,
BA1023,Political Protection,,Technology,Odyssey,Cycle II,Standard,,Structural,,"There may be some who oppose the Nietzschean's rule. If we grant them protectoin, they may server as a useful source of information",Titan Stoa,Refugee Relief Effort,TRUE,Defectors and informants risk their lives to help your cause,,Asylum: Permanent. You can gain Defectors. Immediate. Gain +1 Defector.; Subterfuge: Lose -1 Defector when you are about to perform a Diplomacy test or any test or roll in the Adventure Phase to add +3 to the result,,
BA1024,Refugee Relief Effort,,Technology,Odyssey,Cycle II,Standard,,Structural,,The war is displacing whole communities. We can offer them a safe haven,Political Protection,"Recruitment Programs, Counterintelligence",TRUE,There is nothing more satisfying than the look on the faces of a family reunited,,Argo Community: City Negotation. Gain +X @ArgoFate and lose -1 @Refugees to gain +1 Humanity and +1 Diplomacy with the Local Faction. %Hidden or Distrustful%: X is 1. %Friendly or Allied%: X is 2.; Black Breath Cure: Lose -1 Priest to make one Argonaut lose the Black Breath Affliction,,
BA1025,Recruitment Programs,,Technology,Odyssey,Cycle II,Standard,,Structural,,The war is taking its toll on your crew. You need to double your recruitment efforts. The refugees are more than eager to volunteer,Refugee Relief Effort,Refugee Integration,TRUE,"This is their chance to make things right, reclaim their homes and their lives",,Refugee Enrollment: Gain +1 @ArgoFate to test Diplomacy (7+). *Success*: You may lose -1 @Refugees to gain +1 @Crew,,
BA1026,Refugee Integration,,Technology,Odyssey,Cycle II,Standard,,Structural,,The once nigh-indestructible Argo has seen better days. There are too many repairs to perform and too few hands to carry them out,Recruitment Programs,—,TRUE,You crew and your refugee friends work hand in hand to keep the Argo going,,"Volunteer Repair Crews: Save. Gain +1 @ArgoFate when you are about to lose @Hull during the Voyage or Adventure Phase, to test (X+), where X is 9 minus the number of Refugees you have. *Success*: Lower this @Hull loss by 1 (to a minimum of 0). If you roll a '1', lose -1 @Refugees",,
BA1027,Spartan Investigations,,Technology,Odyssey,Cycle II,Standard,,Structural,,Your experiences on Crete dictate you should establish a robust scout network,Titan Stoa,"Theseus Method, Counterintelligen",TRUE,Your scouts direct you to the places you're most needed at,,"Lakonian Scout Reports: Permanent. After you roll on the Adventure Hubs table, you may choose to resolve an adventure from the hub you rolled or the one in the row directly above",,
BA1028,Theseus Method,,Technology,Odyssey,Cycle II,Standard,,Structural,,"The next logical step. The Nietzschean is waging a shadow war, the sooner you muster your own shadow warriors, the better",Spartan Investigations,Grassroots Support,TRUE,"The work of a spy is thankless, but it saves lives",,Spy Network: Immediate. Add the [Spy Network|BB1242] Exploration card to the Exploration deck,,
BA1029,Grassroot Support,,Technology,Odyssey,Cycle II,Standard,,Structural,,Establishing relations with the local populations will help in your information gathering efforts,Theseus Methods,—,TRUE,"There is something here, the Symmachy would call it synoikismos. You would call it unity of purpose",,Resistance Spies: Gain +1 @ArgoFate when the _Argo_ is on an explored tile with the @Progress symbol to test Diplomacy (7+).<<NL>>*Success:* Gain +1 @Progress.; Allied Intelligence: City Negotation. Gain +1 @ArgoFate to gain +1 @Progress,,
BA1030,Mobile Trade Fleet Dock,,Technology,Odyssey,Cycle II,Standard,,Structural,,Trading is almost impossible in times of war. But smuggling isn't trading,Grand Agora,Alliance Contacts,TRUE,"The Thebans, the Nubians, the various unaligned movers: they all smell opportunity",,Smuggler Contacts: Immediate. Add the [Smugglers|BB1253] Exploration card to the Exploration deck,,
BA1031,Alliance Contacts,,Technology,Odyssey,Cycle II,Standard,,Structural,,"We need to be heard, we need to be seen. The people of Sparta need to know we come to help",Mobile Trade Fleet Dock,Mobile Trade Fleet Hub,TRUE,"Trust is slow to build, but it is always worth it",,"Reconnaissance: City Negotation. If Hidden or Distrustful with the Local Faction, lose a total of X Maze Fragment, Fear Essence, and/or Mortal resources to gain +1 to this Faction's Diplomacy value. X is your current Diplomacy value with this Faction.; Recruitment: Gain +1 @ArgoFate and lose 4 Relief resources to add the [Recruitment Drive|BB1241] Exploration card to the Exploration deck",,
BA1032,Mobile Trade Fleet Hub,,Technology,Odyssey,Cycle II,Standard,,Structural,,Turning the Trade Fleet Dock into a mobile smuggler haven will allow us free access to goods from all over Sparta,Alliance Contacts,—,TRUE,,,Black Market: City Negotation. Trading,,
BA1033,Canal Reconnaissance,,Technology,Odyssey,Cycle II,Standard,,Structural,,Great River Works. And here you thought you were done with mazes. It's time to map them out,Grand Agora,Up-stream Navigation,FALSE,,,"Vanguard Hemiolias: Immediate. Place a generic token on this card. This is the Hemiolia token.; Scout Ship: If the Hemiolia token is on this card, choose an unexplored Map tile number adjacent to the _Argo_. Reveal that tile and place the Hemiolia token on it. Treat this tile as unexplored.<<NL>>*Recall Scout Ship:* If the Hemiolia token is on a Map tile, test Diplomacy (8+) to recall it (use the Diplomacy modifier of the Local Faction on the tile with the Hemiolia token). *Success:* Place the Hemiolia token on this card. *Fail:* Discard the Hemiolia token. When you move onto the tile with the Hemiolia token, you must immediately resolve the ability above, adding +3 to the result.<<NL>>*Create Scout Ship:* If the Hemiolia token is discarded, lose 5 Trireme or 2 War Trireme resources and gain +1 @ArgoFate to add the _Vanguard Hemiolia_ Event to the Timeline, 4 days from now. When you resolve this event, place the Hemiolia token on this card",,
BA1034,Up-stream Navigation,,Technology,Odyssey,Cycle II,Standard,,Structural,,"Argo's aeolipile engines are running on a fraction of their maximum power, or so the engineers claim. Let's put it to the test",Canal Reconnaissance,"Sluice Gate System Integration, Wartime Protocols, Ambrosia Spill Solution",TRUE,"Argo cannot take a continued strain on its engines. But in short bursts, it can be tactically advantageous",Upstream,Turbo-charged Engine: Gain +1 @ArgoFate to move through a @Lock waterway with the Up-stream symbol.; Gain +1 @ArgoFate during the Movement Step to test (8+).<<NL>>*Success:* Ignore Blockades and Ambrosia Sludge,,
BA1035,Sluice Gate System Integration,,Technology,Odyssey,Cycle II,Standard,,Structural,,"There is a Second Cataract up north. If we integrate the Ignition system into the Argo, we won't even need to take a gate fortress","Up-stream Navigation, Story 3A",—,TRUE,An onboard machina breaks the gate's cypher and sends a counterfeit signal,SecondCataract,"Sluice Remote Ignition: Immediate. Gain the [Second Cataract Fortification Line|BC1177] Clue card (Secret deck 5, card 39). Permanent. You can move through @Lock waterways with the Second Cataract symbol",,
BA1036,Argo Security,,Technology,Odyssey,Cycle II,Standard,,Structural,,"There are many people coming onboard the Argo nowadays, too many to count. We need to tighten security",Grand Agora,"Counterintelligence, War Recruitment",TRUE,You can recognize the Guard Mora soldiers by the red stripes on their uniforms,,Guard Mora: Save. Gain +1 @ArgoFate when you are about to lsoe @Crew during the Voyage or Adventure Phase to test Diplomacy (7+).<<NL>>*Success:* Lower this @Crew loss by 1 (to a minimum of 0),,
BA1037,War Recruitment,,Technology,Odyssey,Cycle II,Standard,,Structural,,Many among our Allies' ranks wish to serve on the Argo. It's time we let them,"Argo Security, Dipomacy (any Faction) 7+","War Propylon, Trauma Growth",TRUE,Many volunteers flock to our cause,,Call to Arms: City Negotation. Gain +1 @ArgoFate to gain +1 @Crew,,
BA1038,War Propylon,,Technology,Odyssey,Cycle II,Standard,,Structural,,The original Propylon wasn't built to handle war operations,War Recruitment,"Wartime Protocols, Argo Maintenance",FALSE,It's comforting to know the Argo has your back,,Argo Support III: Permanent. Argo Ability (AA) Limit: 4,,
BA1039,Wartime Protocols,,Technology,Odyssey,Cycle II,Standard,,Structural,,"The Argo wasn't built as a warship, but it needs to become one","Up-stream Navigation, War Propylon",—,FALSE,"You promise yourselves, you will dismantle most of this Ares-cursed equipment once the war is over",,"Spartan Retrofitting: Immediate. Gain +1 @Crew and +1 @Hull. Permanent. Crew Limit: 9, Hull Limit: 6",,
BA1040,Argo Maintenance,,Technology,Odyssey,Cycle II,Standard,,Structural,,"As Alkibiades and his crews learn the ins and outs of the Argo, more on the fly repairs become a possibility - provided you have access to a shipyard",War Propylon,—,TRUE,"There is a lot of shared concepts between the Symmachy's vessels designs and the Argo. Though the latter seems aeons ahead, technologically",,General Repairs: City Negotation. Gain +2 @ArgoFate to gain +1 @Hull,,
BA1041,Titan Breeding,,Technology,Odyssey,Cycle II,Standard,,Structural,,The anitkratos philosophers are ready to expand their Titan work,Titan Stoa,Grand Stoa,,Your time on Crete has left you with a purpose - and new Titans to help you along the way,,"Cretan Strains Breeding: Lose 1 Dreamwalker Titan to note a Mazerunner, Earthshaker,_ or _Logicbreaker_ Event on the Timeline, 10 days from now. When you resolve this event, gain one Titan of the corresponding class. You cannot use this ability again until you resolve the event.; Accelerated Cretan Breeding: You may gain +1 @ArgoFate to use Cretan Strains Breeding with Cooldown: 12 days. If you do, write the chosen Breeding event 5 days from now instead",,
BA1042,Grand Stoa,,Technology,Odyssey,Cycle II,Standard,,Structural,,A new home for your Titans,Titan Breeding,Titan Training,FALSE,"As the Stoa expands, you are able to sustain a growing herd of Titans",,"Titan Stoa Capacity III: Permanent. Titan Limit: 20.; Dreamwalker Breeding: Note the _Dreamwalker_ Event on the Timeline, 9 days from now. When you resolve this event, gain 1 Dreamwalker Titan. You cannot use this ability again until you resolve this event",,
BA1043,Titan Training,,Technology,Odyssey,Cycle II,Standard,,Structural,,Titans are natural warriors. But what if you trained them?,Grand Stoa,—,FALSE,,,"Titan Gymnasion: Immediate. Form the Gymnasion deck: Find all Cycle I and Cycle II Pattern cards and all Pattern cards that you gained in Cycle III (except the ones currently assigned to Titans).; Gain +1 @ArgoFate to note a _Titan's name (Training)_ Event on the Timeline, 7 days from now. When you resolve this event, that Titan may gain one of the Pattern (Training) or Pattern (Conditioning) cards from the Gymnasion deck. You cannot use this ability again until you resolve this event",,
BA1044,Old Transportation System,,Technology,Odyssey,Cycle II,Standard,Secret Deck 04,Structural,,The Helots tell of old roads for ships. It's worth investigating,—,—,TRUE,"The diolkos network, though ancient, is still usable. Such is the legacy of Leleges stonework",,Diolkos Access: Gain +1 @ArgoFate to travel through a @Lock waterway with the Diolkos symbol. Cannot be used during Story 3A,,
BA1045,Counterintelligence,,Technology,Odyssey,Cycle II,Standard,,Structural,,The Argo has been infiltrated by spies and saboteurs. It's time to weed them out,"Refugee Relief Effort, Spartan Investigations, Argo Security",Trauma Growth,TRUE,Krypteia has found its match,,"Argo Investigators: Immediate. Remove a random Sabotage card from the Exploration deck. Permanent. For the purpose of Sabotage card effects, treat your @Refugees value as 1 lower",,
