Card ID,Name,Card Type,Game,Cycle,Card Size,Found In,Tech Type,Tech Sub-Type,Cycle-locked?,Flavor (Project),Requirements,Leads To,Flavor (Tech),Facility Name,Recipes,FAQ,Errata
AA0019,Temenos Sighting,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,Temenos LVL 1 Battle and either: Labyrinthauros Live Study OR Hekaton Live Study,-,,Crooked Pyramid,"GearIcon1=Logicbreaker|GearIcon2=Mazemmer|GearIcon3=Gigas|ingredients1=1x Dreamwalker Titan,6x Maze Fragment|ingredients2=13x Armament,65x Raw Ambrosia,24x Infused Mechanism,2x Labyrinthauros Core,1x [[Mazemace]]|ingredients3=28x Monument,16x Muscle Cluster,25x Calcified Knuckle Bone,1x Hekaton Core,1x [[Gigan]]|GearIcon4=Ariadne's Goodbye|ingredients4=25x Trireme,12x Raw Ambrosia,23x Fleshy Mantle,1x Fear Essence,1x Labyrinthauros Core,1x [[Ariadne's Hello]]",,
AA0020,Pursuer Sighting,Technology,Odyssey,Cycle I,Standard,,Combat,Production Facility,FALSE,,"Pursuer LVL 1 Battle, Basic Support Equipment, Advanced Trireme Weapons","Pursuer Protocol, Bronze Lair",,Bronze Roost,"GearIcon1=Pursuer Imperative|GearIcon2=Mothlame|GearIcon3=Trireme Breastplate|ingredients1=9x Grotesque Beak|ingredients2=2x Grotesque Beak,2x Powdered Matter|ingredients3=6x Grotesque Beak,3x Powdered Matter|GearIcon4=Hermes Tatters|GearIcon5=Ambrosia Trocar|ingredients4=3x Grotesque Beak,8x Powdered Matter|ingredients5=2x Grotesque Beak,1x Powdered Matter",,
BA0984,Temenos Armor,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,—,Trireme Ballista Fire,,Temenos Sculptor,"GearIcon1=Labyrinthization|GearIcon2=Labyrinth Armor|GearIcon3=Temenos Scale Shield/Temenos Scale Umbrella|ingredients1=1x Maze Fragment,1x Violent Ambrosia|ingredients2=2x Maze Fragment,5x Violent Ambrosia|ingredients3=3x Fear Essence,5x Violent Ambrosia",,
BA0985,Temenos Weapons,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,—,Triskelion Power Boost,,Temenodium,"GearIcon1=Temenos Xiphos|GearIcon2=Puzzle Axe|GearIcon3=Labyrinth Mauler|ingredients1=2x Fear Essence,5x Relief,1x Chimeric Tar|ingredients2=3x War Machine,2x Chimeric Tar|ingredients3=3x Maze Fragment,1x Black Chain",,
BA0986,Lakonian Support Equipment,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,—,—,,Survivalist,"GearIcon1=Stepping Stone|GearIcon2=Isokratos Limiter|GearIcon3=Amphoras Belt|ingredients1=3x Relief,1x Supersolid Relief Mass|ingredients2=6x Relief,2x Violent Ambrosia|ingredients3=3x War Machine,1x Cyclopean Metal",,
BA0987,Temenos Advanced GearIcon,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Triskelion Power Boost, Trireme Ballista Fire","13th Muse Grand Cannon, Temenos Support Equipment",,Deeper Temenodium,"GearIcon1=Mazed Cestus|GearIcon2=Scale Chakram|GearIcon3=Psuedomidion|ingredients1=3x Fear Essence,2x Maze Fragment,1x Cyclopean Metal|ingredients2=5x Relief,1x Supersolid Relief Mass|ingredients3=4x Fear Essence,1x Black Chain",,
BA0988,Temenos Support Equipment,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Temenos Advanced GearIcon,Hyperadrenaline Infusion,,Temenaos,"GearIcon1=Mazechute|GearIcon2=Stonewall|GearIcon3=Mazegma|ingredients1=2x Fear Essence,1x Supersolid Relief Mass|ingredients2=3x Maze Fragment,3x Violent Ambrosia|ingredients3=2x War Machine,2x Violent Ambrosia,1x Chimeric Tar OR 1x Unsolved Engima",,
BA0989,Relief GearIcon,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Ambrosia Containment,"War Support Equipment, Chimera Metastasios Autopsy, Metal Weapons",,Templeyard,"GearIcon1=Relief Cestus|GearIcon2=Stone Relief Armor|GearIcon3=Great Breaker|ingredients1=8x Relief,6x Cyclopean Metal,3x Supersolid Relief Mass|ingredients2=12x Relief,1x Supersolid Relief Mass|ingredients3=7x Relief,13x Violent Ambrosia",,
BA0990,Metal Weapons,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Relief GearIcon,"Cyclonus Autopsy, Chimera Metastasios Live Study",,Metalworks,"GearIcon1=Chain Whip|GearIcon2=Eviscerators|GearIcon3=Fireboat|ingredients1=10x War Machine,4x Black Chain|ingredients2=7x War Machine,3x Black Chain|ingredients3=10x War Machine,10x Violent Ambrosia,4x Chimeric Tar|GearIcon4=Xiphos Knives|ingredients4=7x War Machine,3x Black Chain|GearIcon5=Relief Hammer|ingredients5=10x War Machine,4x Black Chain|GearIcon6=Dory-Like Spear|ingredients6=10x War Machine,10x Violent Ambrosia,4x Chimeric Tar",,
BA0991,Experimental GearIcon,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Transport Trireme, 13th Muse Grand Cannon",Cyclonus Autopsy,,Experimental Division,"GearIcon1=Metasword|GearIcon2=Vaulting Rope|GearIcon3=Watchtower Pauldron|ingredients1=10x Fear Essence,5x War Machine,3x Chimeric Tar|ingredients2=5x Fear Essence,12x War Trireme|ingredients3=4x Relief,9x Violent Ambrosia,1x Supersolid Relief Mass|GearIcon4=Siegetower Pauldron|ingredients4=4x Relief,8x Violent Ambrosia,2x Supersolid Relief Mass",,
BA0992,Spartan Weapons,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Helot Alliance,Spartan Advanced Weapons,,Spartan Workshop,"GearIcon1=Spartan Kopis|GearIcon2=Heavy Spear|ingredients1=7x War Machine,13x Violent Ambrosia,7x Supersolid Relief Mass|ingredients2=7x War Machine,40x Violent Ambrosia",,
BA0993,Spartan Advanced Weapons,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Spartan Weapons,—,,Spartan Armory,"GearIcon1=Spartan War Axe|GearIcon2=Gastraphetes|ingredients1=10x War Machine,17x Violent Ambrosia,8x Cyclopean Metal|ingredients2=11x War Trireme,30x Violent Ambrosia",,
BA0994,War Support Equipment,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Hyperadrenaline Infusion, Relief GearIcon",Chimera Metastasios Autopsy,,War Artificery,"GearIcon1=Iapetus Lifesaver|GearIcon2=Control Module|GearIcon3=Boost Kothornos|ingredients1=6x Relief,10x Violent Ambrosia|ingredients2=5x Relief,10x Violent Ambrosia,1x Supersolid Relief Mass|ingredients3=5x War Machine,4x Cyclopean Metal|GearIcon4=Achillean Hectors|ingredients4=6x War Machine,2x Black Chain",,
BA0995,Cyclopean GearIcon,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Cyclops Alliance,Cyclopean Advanced GearIcon,,Cyclopean Sculptor,"GearIcon1=Carver Kopis|GearIcon2=Cyclopean Totem|GearIcon3=Cyclopean Knives|ingredients1=9x Relief,12x Violent Ambrosia,10x Black Chain,1x Cyclopean Tooth|ingredients2=5x Relief,5x Cyclopean Metal,8x Supersolid Relief Mass|ingredients3=11x Relief,30x Violent Ambrosia|GearIcon4=Cyclopean Linothorax|ingredients4=9x War Machine,30x Violent Ambrosia,6x Chimeric Tar",,
BA0996,Cyclopean Advanced GearIcon,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Cyclopean GearIcon,—,,Cyclopean Forge,"GearIcon1=Cyclopean Visor|GearIcon2=Cyclopean Khopesh|GearIcon3=Cyclopean Forge Hammer|ingredients1=20x Relief,6x Black Chain|ingredients2=14x Relief,10x Violent Ambrosia,10x Cyclopean Metal,1x Cyclopean Tooth|ingredients3=20x War Trireme,106x Violent Ambrosia,11x Cyclopean Metal",,
BA0997,Cyclonus Sighting,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Cyclonus LVL 2 Battle, Forced Kratos Cooldown, Trireme Ballista Fire",Transport Trireme,,Cyclotinker,"GearIcon1=Lethe Guard|GearIcon2=Asklepios Node|GearIcon3=Covenant|ingredients1=12x War Trireme,5x Cyclopean Metal|ingredients2=4x War Machine,3x Black Chain|ingredients3=6x War Machine,1x Cyclopean Metal,2x Black Chain",,
BA0998,Cyclonus Autopsy,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Cyclonus LVL 3 Battle, Experimental GearIcon, Metal Weapons",Cyclonus Live Study,,Armor Crafter,"GearIcon1=Warkeeper|ingredients1=1x Dreamwalker Titan,1x Cyclonus Core|GearIcon2=Impact Armor|GearIcon3=Collision Shield|ingredients2=7x War Trireme,4x War Machine,13x Violent Ambrosia,1x Black Chain|ingredients3=3x War Machine,6x Violent Ambrosia,7x Cyclopean Metal",,
BA0999,Cyclonus Live Study,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Cyclonus LVL 4 Battle, Cyclonus Autopsy",Nietzschean Meeting Study,,Cyclowright,"GearIcon1=Needle Sword|GearIcon2=Katarus|GearIcon3=Vaulting Spear|ingredients1=16x Relief,32x Violent Ambrosia,2x Supersolid Relief Mass|ingredients2=10x War Machine,17x Violent Ambrosia,6x Cyclopean Metal|ingredients3=10x War Machine,14x Violent Ambrosia,8x Cyclopean Metal|GearIcon4=Maulmace|ingredients4=15x War Trireme,7x Black Chain,1x Cyclonus Core,1x Maulfist ([[Left Maulfist|Left]] or [[Right Maulfist|Right]])",,
BA1000,Chimera Metastasios Sighting,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Chimera LVL 2 Battle, Reflex Priming, Triskelion Power Boost",Ambrosia Containment,,Small Ambrosia Lab,"GearIcon1=Medusa Extract|GearIcon2=Temple Camo|GearIcon3=Ambrostilts|ingredients1=5x Relief,5x Violent Ambrosia,3x Chimeric Tar|ingredients2=7x Relief,2x Supersolid Relief Mass|ingredients3=7x War Trireme,4x Chimeric Tar",,
BA1001,Chimera Metastasios Autopsy,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Chimera LVL 3 Battle, War Support Equipment, Relief GearIcon",Chimera Metastasios Live Study,,Chimeric Armorsmith,"GearIcon1=Firestarter|GearIcon2=Ambramat Armor|GearIcon3=Ladder Buckler|ingredients1=1x Dreamwalker Titan,1x Chimera Metastasios Core|ingredients2=12x War Trireme,9x Relief,2x Chimeric Tar|ingredients3=9x War Trireme,13x Violent Ambrosia,2x Supersolid Relief Mass|GearIcon4=Muck Armor|ingredients4=10x War Trireme,5x Violent Ambrosia,7x Chimeric Tar|GearIcon5=Hoplite Aspis|ingredients5=9x War Trireme,13x Violent Ambrosia,2x Supersolid Relief Mass",,
BA1002,Chimera Metastasios Live Study,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Chimera LVL 4 Battle, Chimera Metastasios Autopsy, Metal Weapons",Nietzschean Meeting Study,,Chimeric Solutions,"GearIcon1=Chimeric Xiphos|GearIcon2=Boom Spear|GearIcon3=Grand Ramaxe|ingredients1=17x Relief,6x Supersolid Relief Mass|ingredients2=14x War Machine,10x Chimeric Tar|ingredients3=7x War Trireme,10x Black Chain,5x Supersolid Relief Mass|GearIcon4=Muck Bludgeon|GearIcon5=Dragon Bellow|ingredients4=10x War Trireme,16x Violent Ambrosia,10x Chimeric Tar,1x Chimera Metastasios Core,1x Muck Virus|ingredients5=43x War Trireme,6x Chimeric Tar",,
BA1004,Nietzschean Meeting Study,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Nietzschean Sighting, Cyclonus Live Study OR Chimera Metastasios Live Study",—,,Abyss Gate,"GearIcon1=Abysswatcher|ingredients1=1x Dreamwalker Titan,6x Living Abyss|GearIcon1=Abysswatcher|ingredients1=1x Dreamwalker Titan,6x Living Abyss|",,
BA1005,Bronze Lair,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,"Pursuer Sighting, Pursuit's End Battle Victory",Pursuer Order,,Sarcophagus,"GearIcon1=Pursuer Ultimatum|ingredients1=5x Grotesque Beak,2x Powdered Matter,1x Pursuer Imperative|GearIcon2=Hermes Cape|GearIcon3=Conqueror Nail|GearIcon4=Repurposed Cryptex|GearIcon5=Gamechanger|ingredients2=7x Grotesque Beak,9x Powdered Matter,1x Hermes Tatters|ingredients3=9x Grotesque Beak,9x Powdered Matter,1x Nail Spear|ingredients4=2x War Machine,1x Damage Cryptex|ingredients5=1x Dreamwalker Titan,1x Pursuer Core",,
BA1006,Burden Sighting,Technology,Odyssey,Cycle II,Standard,,Combat,Production Facility,FALSE,,Burden LVL 1 Battle,Burden Autopsy,,Spherical Quarry,"GearIcon1=Roll Breakers|GearIcon2=Squat Armor|GearIcon3=Pithos Armor|ingredients1=5x Retractible Mechanism,2x Reliefshell Fragment|ingredients2=7x Retractible Mechanism,4x Reliefshell Fragment|ingredients3=9x Retractible Mechanism,3x Reliefshell Fragment|GearIcon4=Faceshield|ingredients4=5x Retractible Mechanism,10x Reliefshell Fragment",,
CA1570,Nietzschean Weapons,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,—,"Telehealing, Possibility Matrix",,Blackforge,"GearIcon1=Hardened Cestus|GearIcon2=Black Xiphos|GearIcon3=Smoldering Mace|ingredients1=2x Skin of Malice,1x Eye Cluster|ingredients2=6x Living Abyss,2x Frozen Ambrosia|ingredients3=3x Lviing Abyss,3x Frozen Ambrosia|GearIcon4=Abyssal Watchers|ingredients4=2x Skin of Malice,1x Razorclaw",,
CA1571,Nietzschean Reach Weapons,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,—,"Reverse Timeflow, Fate Converter",,Abyss Circle,"GearIcon1=Excavated|ingredients1=1x Sirenshell,1x Frozen Ambrosia|GearIcon2=Abyssal Spear|GearIcon3=Black Javelin|ingredients2=2x Living Abyss,2x Icarian Feather|ingredients3=3x Skin of Malice,3x Frozen Ambrosia",,
CA1572,Nietzschean Armor,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,—,"Reverse Timeflow, Fate Converter",,Skinsculptor,"GearIcon1=Abyss Mirror|GearIcon2=Abyss Linothorax|GearIcon3=Abyss Thorax|ingredients1=6x Sirenshell,1x Clothflesh|ingredients2=2x Skin of Malice,4x Frozen Ambrosia|ingredients3=4x Skin of Malic,1x Clothflesh",,
CA1573,Temporal Support Equipment,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,—,"Telehealing, Possibility Matrix",,Temporal Study,"GearIcon1=Fatesafe|GearIcon2=Hourglass Necklace|GearIcon3=Paradox Guard|ingredients1=2x Daedalus Machina,3x Frozen Ambrosia|ingredients2=4x Sirenshell,1x Razorclaw|ingredients3=3x Skin of Malice,1x Clothflesh|GearIcon4=Paradox Scanner|ingredients4=3x Living Abyss,1x Eyes Cluster",,
CA1574,Delphian Siren Armor,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,"Possibility Matrix, Reverse Timeflow",Chronosphere Warning System,,Siren Porta,"GearIcon1=Siren Mask|GearIcon2=Siren Coral Panoply|GearIcon3=Siren Cataphract|ingredients1=1x Skin of Malice,3x Sirenshell,5x Frozen Ambrosia|ingredients2=4x Living Abyss,1x Clothflesh|ingredients3=4x Sirenshell,1x Icarian Feather|GearIcon5=Recall Shell|GearIcon4=Spiral Shield|ingredients4=3x Sirenshell,5x Frozen Ambrosia|ingredients5=2x Daedalus Machina,1x Clothflesh",,
CA1575,Delphian Siren Weapons,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,"Possibility Matrix, Reverse Timeflow","Chronosphere Warning System, Advanced Transforming Weapons",,Siren Agora,"GearIcon1=True Sirenblade|GearIcon2=Spiral Spada|GearIcon3=Sirentusks|ingredients1=3x Living Abyss,2x Sirenshell,2x Frozen Ambrosia,1x Razorclaw|ingredients2=3x Sirenshell,3x Frozen Ambrosia,1x Icarian Feather,1x Antideluvian Sirenshell|ingredients3=5x Sirenshell,1x Razorclaw|GearIcon4=Spiradiscus|ingredients4=4x Daedalus Machina,1x Frozen Ambrosia",,
CA1576,Advanced Transforming Weapons,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,"Delphian Siren Weapons, and either: Icarian Harpy Sighting OR Hypertime Oracle Sighting",Argoline Transforming Weapons,,Advanced Projects Division,"GearIcon1=Returner|ingredients1=1x Dreamwalker Titan,1x Hypertime Oracle Core|GearIcon2=Exoaegis|GearIcon3=Sun Spear|GearIcon4=Sun Disc|ingredients2=11x Hyperborean Alloy,2x Frozen Ambrosia,2x Icarian Feather|ingredients3=6x Sirenshell,4x Razorclaw|ingredients4=3x Daedalus Machina,2x Frozen Ambrosia,3x Razorclaw,1x Icarian Feather",,
CA1577,Atemporal Support Equipment,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,Chronosphere Warning System,Argoline Transforming Weapons,,Atemporal Study,"GearIcon1=Ontological Module|ingredients1=5x Hyperborean Alloy,2x Eyes Cluster|GearIcon2=Fatesafer|GearIcon3=Looper Guard|ingredients2=5x Daedalus Makina,5x Frozen Ambrosia|ingredients3=4x Daedalus Makina,2x Clothflesh",,
CA1578,Black Ice Armor,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,Chronosphere Warning System,—,,Black Ice Excavators,"GearIcon1=Polished Ice Shield|GearIcon2=Black Ice Kothornos|GearIcon3=Iceblock Armor|ingredients1=3x Living Abyss,2x Daedalus Makina,9x Frozen Ambrosia|ingredients2=5x Living Abyss,3x Hyperborean Alloy,2x Clothflesh|ingredients3=6x Sirenshell,8x Frozen Ambrosia",,
CA1579,Argoline Transforming Weapons,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,"Advanced Transforming Weapons, Atemporal Support Equipment","Icarian Harpy Autopsy, Hypertime Oracle Autopsy, Monomythological Support, Cryptex Technology, Transient Death",,Argofoundry,"GearIcon1=Scaling GearIcon Prototype|ingredients1=4x Living Abyss,2x Daedalus Makina,4x Frozen Ambrosia,1x Eyes Cluster|GearIcon2=Ignition Spear|GearIcon3=Hammersword|GearIcon4=Barbed Saw|ingredients2=4x Living Abyss,6x Sirenshell,3x Clothflesh|ingredients3=6x Sirenshell,2x Clothflesh,2x Eyes Cluster|ingredients4=7x Sirenshell,2x Razorclaw,2x Icarian Feather",,
CA1580,Cryptex Technology,Technology,Odyssey,Cycle III,Standard,,Combat,Production Facility,FALSE,,"Argoline Transforming Weapons, Pursuit's End Battle Victory, ArgoKnowledgeIcon 51+",—,,Cryptexarium,"GearIcon1=Argocryptex Alpha|GearIcon2=Argocryptex Beta|GearIcon3=Argocryptex Gamma|ingredients1=7x Daedalus Makina,18x Frozen Ambrosia|ingredients2=11x Sirenshell,8x Frozen Ambrosia,4x Clothflesh|ingredients3=11x Sirenshell,16x Frozen Ambrosia",,
