Card ID,Name,Card Type,Game,Cycle,Card Size,Found In,Tech Type,Tech Sub-Type,Cycle-locked?,Flavor (Project),Requirements,Leads To,Flavor (Tech),Abilities,Charges,Trireme,Secrets,FAQ,Errata
BA1012,13th Muse Grand Cannon,Technology,Odyssey,Cycle II,Tarot,Secret Deck 06,Combat,Argo Ability,FALSE,We once found a cannon with no name and hoped we never had to use it. Today we hope it still works,Temenos Advanced Gear,"Hephaestean Oxybeles, Experimental Gear",,"<Start of Titan Round> You may choose an effect from the Payload card and roll a d10. On a 6+, the Cannon is primed. It remains primed until you fire, decide to prime a different effect, or the Battle ends.; Godkiller Shot:: When the Cannon is primed, discard 1 @Energy and lose the indicated resource to fire.; Emergency Priming:: As a @Reaction or after drawing a BP card you may discard 1 @Energy to perform an emergency priming. Immediately choose an effect from the Payload card and roll for priming as normal",2,FALSE,,,
BA1013,Transport Trireme,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,We know enough of the Great River Works canal network to use it to our advantage,Cyclonus Sighting,"Experimental Gear, Hephaestean Oxybeles",,"Rearm:: A Titan on, adjacent to, or moving through a space with the Trireme token may flip the Trireme token to the spent side to equip any 1 Support or Weapon @Gear card from the Armory. A spent Transport Trireme can still be moved as normal but loses the Rearm ability",,TRUE,,,
BA1014,Ambrosia Containment,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,Even the Titans aren't immune to the corrupting effects of ambrosia. We need to support them however we can,Chimera Metastasios Sighting,Relief Gear,Specialized cleanup crews risk life and limb to minimize ambrosia exposure,"Choose a Titan that is about to gain Ambrosia tokens, lower this gain to 1",2,FALSE,,,
BA1015,Hephaestean Oxybeles,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,"Though everyone talks about the 13th Muse, this oxybeles design can revolutionize the way we prepare for battle","13th Muse Grand Cannon, Transport Trireme",—,,"Choose a Weapon from the Armory. Then choose a Battle Board space you want to deploy the Weapon to and roll a d10:<<NL>>1-5: It lands 3 spaces away from the chosen space in a random direction.<<NL>>6-10: It lands on the chosen space. Mark this space with a generic token.<<NL>>A Titan on, adjacent to, or moving through the space with the token may discard it to equip the Weapon. If the Weapon lands on a space occupied by the Primordial, it remains stuck in its body. Place a generic token on the Primordial Sheet and place 2 Break tokens and 1 Opening token in the Kratos Pool. A Titan adjacent to the Primordial or on the Primordial VP may discard the generic token to equip the Weapon",2,FALSE,,,
BA1016,Hyperadrenaline Infusion,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,"By stimulating the Titan's adrenal glands through the Junction, we can manufacture an incredible reflex reaction",Temenos Support Equipment,War Support Equipment,Is there a limit to the Titan's power?,Choose a Titan that is about to perform a voluntary movement. That Titan may move 4 more spaces during this movement,1,FALSE,,,
BA1017,Pursuer Order,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,The study of the recovered cryptex has led to a breakthrough in Junction Theory,Bronze Lair,—,The wings of oppression overturned now lift you up,<Reaction> Choose a Titan. That Titan may move up to 2 spaces,2,FALSE,,,
BA1018,Rendezvous Trireme,Technology,Odyssey,Cycle II,Standard,,Combat,Argo Ability,FALSE,You still remember that fateful rendezvous with the Symmachy. O strange bedfellows,Symmachy Alliance,—,,"Housewarming Gift:: If you push the Primordial on to a space with the Trireme token, discard the token and place 1 negative @AT token in the Kratos Pool. If the Primordial moves through a space with the Trireme token, discard the token, then roll a d10. On a 6+, place 1 negative @AT token in the Kratos Pool",,TRUE,,,
CA1597,Fate Converter,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,"A Moirai verdict can be resisted, you have seen proof of that","Nietzschean Reach Weapons, Nietzschean Armor","Hypertime Oracle Sighting, Icarian Harpy Sighting",Weaponized free will,Choose a Titan. That Titan loses -2 @Fate and gains +1 @Danger,3,FALSE,,,
CA1598,Reverse Timeflow,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,Reverse-engineered reversed time,"Nietzschean Reach Weapons, Nietzschean Armor","Delphian Siren Armor, Delphian Siren Weapons, Hypertime Oracle Sighting",Fast-tracked to victory,Choose a Titan. That Titan arrives from Time-clocked,2,FALSE,,,
CA1599,Possibility Matrix,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,"The Oracle prunes possible outcomes, we need to multiply them","Temporal Support Equipment, Nietzschean Weapons","Delphian Siren Armor, Delphian Siren Weapons, Icarian Harpy Sighting","From the infinite pool of outcomes, survival requires just one",Place the top card of any Trauma deck on the bottom of that deck. You may use this ability as a free action or as a @Reaction,2,FALSE,,,
CA1600,Telehealing,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,"We know how to stimulate healing through the Junction, though we don't know how it works","Temporal Support Equipment, Nietzschean Weapons","Hypertime Oracle Sighting, Icarian Harpy Sighting","I see you, my children",Discard up 2 to Bleeding tokens from a chosen Titan,2,FALSE,,,
CA1601,Transient Death,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,TRUE,"By bending the Delphian Loop, we can bring back a recently deceased Titan to life. For a price...",Argoline Transforming Weapons,—,Even death may die,Lose -1 Titan from the _Argo_ to choose a dead Titan. That Titan comes back to life at their Time Anchor. You may use this ability as a free action or as a @Reaction,1,FALSE,,,
CA1602,Quantum Armory,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,Slightly shifting the timeline allows us to re-arm the Titans in the past,Icarian Harpy Sighting,Icarian Harpy Autopsy,"For each task, the perfect tool",Immediately equip 1 Weapon from the Argo Armory. You may swap it with one of your currently equipped Weapons (return it to the Argo Armory). You may use this ability as a free action or when you are about to perform a *Bonus Attack*,2,FALSE,,,
CA1603,Opportunity Freeze,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,Slowing down time to extend your window of opportunity,Hypertime Oracle Sighting,Hypertime Oracle Autopsy,Everyone deserves a second chance,"When a Titan fully misses an Attack, do not clear the Kratos Pool",2,FALSE,,,
CA1604,Chronosphere Warning System,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,Monitoring the flow of time grants Titans near precognitive reflexes,"Delphian Siren Armor, Delphian Siren Weapons","Black Ice Armor, Atemporal Support Equipment",Forecast: Survival,@Reaction Choose a Titan. That Titan may move up to 3 spaces,2,FALSE,,,
CA1605,Time Skip,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,The study of the recovered cryptex has led to a breakthrough in Junction Theory,Icarian Harpy Autopsy,Icarian Harpy Live Study,--Dovahzul text--,"During a Titan turn, even after you have used both of your actions, choose a Titan. That Titan may imediately perform an additional @CombatAction",1,FALSE,,,
CA1606,Time Dilation,Technology,Odyssey,Cycle III,Standard,,Combat,Argo Ability,FALSE,Slowing time inside the Junction,Hypertime Oracle Autopsy,Hypertime Oracle Live Study,--Dovahzul text--,"During a Titan turn, even after you have used both of your actions, choose a Titan. That Titan may imediately perform an additional @MovementAction",1,FALSE,,,
DA2188,Irem Protocols,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,Our scholars have broken the wish-codes used to hide the towers in the sand,"Cinder Support, Cinder Ranged Weapons","Gold Transmogrifier, Imperial Deprived Stockpile",Action exigent: Emergy retraction,Move an empty Irem Tower Terrain tile any number of spaces in a straight line. It cannot move through other Terrain tiles or the Primordial,3,FALSE,,,
DA2189,Wish Deflector,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,"When properly calibrated, Delphian paracausal shielding can provide a brief respit from the barrage of wishes","Cinder Ranged Weapons, Cinder Armor",Imperial Deprived Outfitter,Wishing you did not have to wish,"When a Titan becomes the Target of a Wish Attack, choose that Titan. That Titan gains {Wish Armor}",2,FALSE,,,
DA2190,Gold Transmogrifier,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,This alchemical process is highly unstable but remains the fastest known converter,Irem Protocols,Midascore Sighting,Like a million tiny wishes,Choose a Titan and roll 2 @BlackPowerDie. Count the number of @Power. Turn as many of that Titan's Midas tokens into Ambrosia tokens,2,FALSE,,,
DA2191,Archimedean Ballista,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,Next generation of weapons utilizing the devasting power of the Sun,Imperial Deprived Armorer,Demidjinn Sighting,Not a ballista at all,Place 3 Opening tokens or 2 Fire tokens in the Kratos Pool,2,FALSE,,,
DA2192,Cloud Support Fleet,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,Our enemies dominate the skies. We need to wrest air superiority away from them,Midascore Sighting,"Midascore Autopsy, Old Irem Excavation","We have adapted the local ""cirrotrireme"" technology, though our cloud vessels remain inferior to the fleet of the Empire","{Elevated}. Place the Cirrotrireme token or move the Cirrotrireme token to any space on the Battle Board (even if occupied); Rearm:: A Titan on, adjacent to, or moving through a space with the Cirrotrireme token may flip the token to the spent side to equip any 1 Weapon @Gear card from the Armory. A spent Cirrotrieme can still be moved as normal but loses the *Rearm* ability",3,TRUE,,,
DA2193,Dahaka Phasing,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,Dahaka's signature in the Triskelion is like a tempestuous wind or tide. If we could surf it...,Dahaka Sighting,"Insolvency Bulwark, Dahaka Autopsy, Midascore Autospy, Demidjinn Live Study",Anemoi reflex,@Reaction Choose a Titan. That Titan may perform {Hermes Move 1},2,FALSE,,,
DA2194,Cloud Scout Fleet,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,"We need to develop a lighter, faster method for reconnaissance and extraction",Old Irem Composite Shop,Midascore Live Study,"Second generation cloudships, hemiolias of the skies",Choose a Titan that is being Wished Away. Reduce that suffered Wish Away by up to -4. You may place that Titan on any Irem Tower within range (not necessarily in front of the Primordial),2,FALSE,,,
DA2195,Ascension Protocols,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,"The Babelian Lunacy is an ever-changing architectural impossibility. Maybe we should treat it like a current, not a structure?",Demidjinn Autospy,Demidjinn Live Study,Insider shortcuts,Choose a Titan performing an Ascent check. Add +3 to the result,2,FALSE,,,
DA2196,Curse Resistor,Technology,Odyssey,Cycle IV,Standard,,Combat,Argo Ability,FALSE,We need to undersatnd the underlying imbalance of the curses,Old Irem Dig,"Demidjinn Autopsy, True Value of Life","By dividing the curse between several willing participants simultaneously, we weaken its effects",Choose a Titan. Either: $Energy Flip one of that Titan's Condition cards. $Energy $Energy Discard one of that Titan's Condition cards,2,FALSE,,,
DA2223,Ropeseller Theorem,Technology,Odyssey,Cycle IV,Standard,Secret Deck 13,Combat,Argo Ability,FALSE,Greed stronger than survival,—,—,"In the end, it defeats itself","When the Primordial reveals an AI card or triggers a Signature that targets a specific Titan, change the Targeting to *Target:* Most Midas tokens",1,FALSE,,,
EA2750,Calculate Statistical Certainty,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,"A wise and ancient advisor of unknown origin, brought into existence by the wonders of Mnestis. It always tells the truth, no matter how bleak it is","Babelian Ranged Weapons, Babelian Support","Abyss Support, Oxygen Tubes, Ur-Fleece Sighting",Chance of survival: bleak,Choose a Titan. That Titan uses the Truth Machine,3,FALSE,,,
EA2751,Kintsukuroi Pharos,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,"This giant searchlight is an unexpected by-product of the Last Wish. This is the 13th Muse, reconstructed","Babelian Armor, Babelian Ranged Weapons","Abyss Weapons, Drag It Back!",There is value in mending broken things,"<Start of Battle> Choose one Kintsukuroi Pharos Payload and place it on this card. Until the end of Battle, the Payload becomes the effect of this Argo Ability",1,FALSE,,,
EA2752,Oxygen Tubes,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,"Made from Primordial intestines, they carry life-saving air from the Argo",Calculate Statistical Certainty,Dragon of Phobos Sighting,Time bought,Choose a Titan. That Titan flips 1 Aether token,2,FALSE,,,
EA2753,Drag It Back!,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,Giant harpoon guns mounted on the Argo itself,Kintsukuroi Pharos,Meduketos Sighting,Fire forward harpoons!,"The Titan closest to the Primordial immediately performs Pushback X or Pull X, where X is up to 3",2,FALSE,,,
EA2754,Underwater Support Fleet,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,A reclaimed Atlantean deepsea ship serves as the eyes and ears of the Titans,Dragon of Phobos Sighting,Dragon of Phobos Autopsy,"A Galeos-class subreme, like the ones you use as harpoon tips...","Place the Subreme token on any space adjacent to the Board Edge and move it up to 5 spaces, or if the Subreme is already on the Board, move it up to 5 spaces (even if occupied). A spent Subreme can still be moved as normal but loses the *Rearm* and *Detect* abilities.; Rearm:: A Titan on, adjacent to, or moving through the space with the Subreme token may flip the token to the spent side to equip any 1 Weapon card from the Armory or flip an Aether token.; Detect:: Flip the Subreme token to the spent side to perform a Scan",4,TRUE,,,
EA2755,Flash Backstep,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,"You're still far from reaching the limits of cryptext tekne, though further gains will be paid by the pain of the subject",Titan X Sighting,"Atlantean Weapons, Dragon of Phobos Autopsy, Meduketos Live Study, Silvered Armor, Triskelion Override, Titan X Investigation",Is pain elation? Or are you projecting?,"Choose a Titan when an adjacent Primordial performs {Flash Step}, {Vanish}, or {Flicker}. Gain 1 Pain token to immediately move up to 9 spaces to remain adjacent",2,FALSE,,,
EA2756,Painkiller Shot,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,A remote Junction command that immediately shuts off the nerves of a Titan,Atlantean Armor,Meduketos Autopsy,"A new philosophical protocol allows us to ""trick"" a Titan's nervous system","Choose a Titan. Either lower Pain and/or Bleed gain to 1, or ignore all Pain tokens this Round",2,FALSE,,,
EA2757,Triskelion Override,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,A jolt sent through the Junction will override any natural instinct,Flash Backstep,Silvered Armor,Is pushing them this far worth it?,"Choose a Titan. Gain 3 Pain tokens to perform a @CombatAction or @MovementAction, then gain a @CombatAction or @MovementAction Fatigue token",2,FALSE,,,
EA2758,Inner Light,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,"A solution of liquid orichalcum introduced into the bloodstream, to be triggered remotely",Atlantean Armor,Anchor Drop Pod,Let there be light,"Choose a Titan that is about to die from [Disemboweled|AM0341], [Fear|AL0299], [Dread|AL0299], [Terror|EL2596], or [Holy Terror|EL2596]. That Titan draws a Grave Trauma instead",2,FALSE,,,
EA2759,Anchor Drop Pod,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,Special pods of reinforced materials designed for rapid submersion,"Inner Light, Meduketos Autopsy",Meduketos Live Study,Prepare for Titan drop!,"If, during the first Primordial or Titan Round, a Titan dies, replace them with a new Titan from the Stoa. Choose a Battle Board space you want to Deply (see Cycle V, p. 11) the new Titan to and roll a d10:<<NL>>1-5: It lands 3 spaces away from the chosen space in a random direction.<<NL>>6-10: It lands on the chosen space.<<NL>>If it lands on the Primordial, place 2 Closing and 1 Hope tokens in the Kratos Pool and Deploy the Titan on any adjacent space",1,FALSE,,,
EA2760,Soulbalm,Technology,Odyssey,Cycle V,Standard,,Combat,Argo Ability,FALSE,"As we learn to create more nuanced Junction commands, we can speak to the Titan more directly",Atlantean Support,Dragon of Phobos Live Study,Can you hear me? You are not alone in this,Choose a Titan. That Titan discards all Despair tokens or a [Fear|AL0299] or [Terror|EL2596] Condition card,1,FALSE,,,
