Card ID,Name,Render Type,Game,Cycle,Card Size,Found In,Subtitle,Clue Type,Story Card,Subdeck,Image Description,Card Text,Flavor,Secrets,FAQ,Errata
BC1191,Hammer & Anvil,Clue,Odyssey,Cycle II,Mini American,,Argophylae,Story,3A,,,"At the end of the current Step, resolve a regular Cyclonus Battle but *do not* mark it on the Evolution Track. The Cyclonus' level is determined by the last marked box on its Evolution Track. After the Battle, return this card to the box (do not shuffle it into the Argophylae deck when it runs out of cards)","Coralled into a tight canal, with the might of the Nietzschean fleet behind you, you face a Cyclonus enforcer",,,
BC1192,Apella Delegate,Clue,Odyssey,Cycle II,Mini American,,Identity,Blue Clue,3B,Identity,,*Administrative Clearance*. Add the [Gerusia Delegate|BC1193] Clue card to the Identity deck,A Spartiates representitive who survived the Cleansing,,,
BC1193,Gerusia Delegate,Clue,Odyssey,Cycle II,Mini American,,Identity,Red Clue,3B,Identity,,*Administrative Clearance*. Add the [Gerusia Delegate|BC1193] Clue card to the Identity dec.,"To be old and alive in the New World Order, you need to be a god or a monster",,,
BC1194,Krypteia Agent,Clue,Odyssey,Cycle II,Mini American,,Identity,Blue Clue,3B,Identity,,*Security Clearance*. Add the [Krypteia Spymaster|BC1195] Clue card to the Identity deck,You see the Krypteia only when it wants to be seen. And then it is too late,,,
BC1195,Krypteia Spymaster,Clue,Odyssey,Cycle II,Mini American,,Identity,Red Clue,3B,Identity,,"*Security Clearance*. When you have this card, the first @City Negotation ability you use during the day costs you -1 @ArgoFate less (to a minimum of 0)",Even the Ephors fear the ever vigilant eye of the Krypteia,,,
BC1196,Hippeis Commander,Clue,Odyssey,Cycle II,Mini American,,Identity,Blue Clue,3B,Identity,,*Military Clearance*. Add the [Hermes Hoplites Commander|BC1197] Clue card to the Identity deck,A Spartiates warrior leading one of the cohorts,,,
BC1197,Hermes Hoplites Commander,Clue,Odyssey,Cycle II,Mini American,,Identity,Red Clue,3B,Identity,,"*Military Clearance*. When you have this card, each time you use the Expedition ability from the [Titan Hunting|AA0044] Technology card, add +1 to the result",A Superior Spartiates ordering a force that can bring down a Titan,,,
BC1198,Ambrosia Extraction Advisor,Clue,Odyssey,Cycle II,Mini American,,Identity,Blue Clue,3B,Identity,,*Black Industries Clearance*. Add the [Ambrosia Processing Overseer|BC1199] Clue card to the Identity deck,"An astrologer and alchemist, leader of an Ambrosia Extraction Platform",,,
BC1199,Ambrosia Processing Overseer,Clue,Odyssey,Cycle II,Mini American,,Identity,Red Clue,3B,Identity,,"*Black Industries Clearance*. When you have this card, if a Sabotage effect requires you to note an event on the Timeline, note it 5 days from your current day instead",A tinker and philosopher supervising the refinement of raw ambrosia,,,
BC1200,Agiad King,Clue,Odyssey,Cycle II,Mini American,,Identity,Blue Clue,3B,Identity,,*Inner Circle Clearance*. Add the [Ephor|BC1202] Clue card to the Identity deck (if available),The position of the Agaid King brings the Nietzschean's regime much needed legitimacy,,,
BC1201,Eurypontid King,Clue,Odyssey,Cycle II,Mini American,,Identity,Blue Clue,3B,Identity,,*Inner Circle Clearance*. Add the [Ephor|BC1202] Clue card to the Identity deck (if available),"In Nietzschean's Sparta, even a King is a lapdog",,,
BC1202,Ephor,Clue,Odyssey,Cycle II,Mini American,,Identity,Red Clue,3B,Identity,,"*Inner Circle Clearance*. When you have this card, add +1 to all save tests that allow you to mitigate @Hull loss. Add the [High Preist of Man|BC1203] Clue card to the Identity deck",Ephors are the de facto governors and generals of Sparta,,,
BC1203,High Priest Of Man,Clue,Odyssey,Cycle II,Mini American,,Identity,Red Clue,3B,Identity,,"*Inner Circle Clearance*. When you have this card, add +1 to all save tests that allow you to mitigate @Doom gain",The one who did not hesitate,,,
BC1204,Bloodied Wreaths,Clue,Odyssey,Cycle II,Mini American,Secret Deck 05,Title,Other,,,,"When in Sparta, gain +1 to save tests that allow you to mitigate either @Crew or @Hull loss",You have looked into the Abyss and made it blink,,,
BC1205,The Wolf Among Us,Clue,Odyssey,Cycle II,Mini American,Envelope N,Loyalty,Other,,,,"The Krypteia assassins have infiltrated your ranks. *You are not one of them*, but the evidence suggests there is a spy among you, posing as an Argonaut. Their instructions are printed on the Loyalty card they were dealt. Observe your fellow players carefully, looking for any signs of treachery. At a later point you will be asked to vote which of you is an imposter",,,,
BC1206,The Wolf Among Us,Clue,Odyssey,Cycle II,Mini American,Envelope N,Loyalty,Other,,,,"The Krypteia assassins have infiltrated your ranks. *You are not the traitor*, but the evidence suggests there is a spy among you, posing as an Argonaut. Their instructions are printed on the Loyalty card they were dealt. Observe your fellow players carefully, looking for any signs of treachery. At a later point you will be asked to vote which of you is an imposter",,,,
BC1207,The Wolf Among Us,Clue,Odyssey,Cycle II,Mini American,Envelope N,Loyalty,Other,,,,"The Krypteia assassins have infiltrated your ranks. *You are loyal to the Argo*, but the evidence suggests there is a spy among you, posing as an Argonaut. Their instructions are printed on the Loyalty card they were dealt. Observe your fellow players carefully, looking for any signs of treachery. At a later point you will be asked to vote which of you is an imposter",,,,
BC1208,The Wolf Among Us,Clue,Odyssey,Cycle II,Mini American,Envelope N,Loyalty,Other,,,,"The Krypteia assassins have infiltrated your ranks. *You did not betray your comrades*, but the evidence suggests there is a spy among you, posing as an Argonaut. Their instructions are printed on the Loyalty card they were dealt. Observe your fellow players carefully, looking for any signs of treachery. At a later point you will be asked to vote which of you is an imposter",,,,
CC1557,Map Of The Past,Clue,Odyssey,Cycle III,Mini American,,Map,Story,1B,,Array of tiles XXX-XXX,,This is the reconstructed map of Delphi from the time before the Eschaton,,,
CC1558,Finish The Prime Lighthouse,Clue,Odyssey,Cycle III,Mini American,,Event,Story,2A,,,"When you are on tile 32, during the Story Step, lose -1 @Hull to repair the Prime Lighthouse ahead of schedule. Mark J9","Icarus used his father's lighthouses to guide his ship to the skies, but one failed to activate. Perhaps some of the rare components and alloys of the Argo's hull could repair it before the ill-fated flight..",,,
CC1559,Design A Mazestone Solution,Clue,Odyssey,Cycle III,Mini American,,Event,Story,2A,,,"When you are on tile 46, during the Story Step, gain +1 @Doom to alter the Sirenshell Crucible. Mark J3","Icarus's vessel uses a Sirenshell core to contain the paracausal energies of its central machina, but there was a problem with its configuration. Maybe it would be better to use Mazeflesh in its construction..",,,
CC1560,Infiltrate The Expedition,Clue,Odyssey,Cycle III,Mini American,,Event,Story,2A,,,"When you are on tile 42, during the Story Step, lose -1 @Crew to replace the Oracle who accompanies the mission. Mark F6","Icarus needed a Delphian Oracle to plot the Aspirant's course, but the one he chose lacked confidence in his abilities. Maybe another candidate from among the Argo's crew will not hesitate",,,
CC1561,Broker A Deal,Clue,Odyssey,Cycle III,Mini American,,Event,Story,2A,,,"When you are on tile 37, during the Story Step, gain +2 @Paradox to convince Icarus to accept outside help. Mark N4","While preparing for the Aspirant's mission, Icarus was approached by Symmachy agents with offers of aid and resources. He refused, but perhaps you can convince him to accept instead..",,,
CC1562,Provide A Titan,Clue,Odyssey,Cycle III,Mini American,,Event,Story,2A,,,"When you are on tile 48, during the Story Step, lose -1 Titan to provide the Aspirant with a tamed Titan. Mark M7","Some of the Aspirant's larger machina need a colossus to operate them. Icarus used a Gaia-born Titan he captured and tamed himself, but perhaps one of your Titans might be better suited to the task..",,,
CC1563,Donate Refined Ambrosia,Clue,Odyssey,Cycle III,Mini American,,Event,Story,2A,,,"When you are on tile 54, during the Story Step, lose any 10 Primordial resources to reveal the impurities in the ambrosia stockpile. Mark B4","The Aspirant's mission required prodigious amounts of ambrosia to fuel it, but the supplies received contained impurities. The Argo's ambrosia stockpile, however, is of much higher quality, thanks to their recent visit to Sparta..",,,
CC1564,Chariot 1A,Clue,Odyssey,Cycle III,Mini American,,Map,Story,3A,Chariot Deck,"Picture of four tiles, one with a chariot piece on it",,This map shows the possible location of a Sunheir chariot part,,,
CC1565,Chariot 2B,Clue,Odyssey,Cycle III,Mini American,,Map,Story,3A,Chariot Deck,"Picture of four tiles, one with a chariot piece on it",,This map shows the possible location of a stolen Exile chariot part,,,
CC1566,Chariot 1B,Clue,Odyssey,Cycle III,Mini American,,Map,Story,3A,Chariot Deck,"Picture of four tiles, one with a chariot piece on it",,This map shows the possible location of a stolen Exile chariot part,,,
CC1567,Chariot 2A,Clue,Odyssey,Cycle III,Mini American,,Map,Story,3A,Chariot Deck,"Picture of four tiles, one with a chariot piece on it",,This map shows the possible location of a Sunheir chariot part,,,
DC2086,Irembihazar,Clue,Odyssey,Cycle IV,Mini American,,Search,Story,2A,,,See 0047,"Oh, Irembihazar, the jewel of the Empire, my gilded love!",,,
DC2087,City of Beggars,Clue,Odyssey,Cycle IV,Mini American,,Search,Story,2A,,,See 0049,The Empire is so wealthy that only the most lazy and stupid are destitute,,,
DC2088,The Great Bazaar,Clue,Odyssey,Cycle IV,Mini American,,Search,Story,2A,,,See 0051,"In the Great Bazaar of the Empire, everything is for sale, and for a fair price too!",,,
DC2089,Bankrupt Metropolis,Clue,Odyssey,Cycle IV,Mini American,,Search,Story,2A,,,See 0053,"If you fail in the name of the Empire, the Empire will bail you out",,,
DC2090,Aristotelian Conquered City,Clue,Odyssey,Cycle IV,Mini American,,Search,Story,2A,,,See 0055,Equality for all--is that not the very essence of commerce?,,,
DC2091,Post-Collapse Palace City,Clue,Odyssey,Cycle IV,Mini American,,Search,Story,2A,,,See 0057,Even in ruin are our cities the envy of all onlookers,,,
DC2092,Pandora's Tower Looms,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Left Compass,"*If this is the 5th+ Cloud Chase card:* Repeat this card once, if possible.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @Doom",,,,
DC2093,Lookout Irem Tower,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Right Compass,"*If this is the 6th+ Cloud Chase card:* Repeat this card once, if possible.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @Progress",,,,
DC2094,Violent Wish Storm,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Up Compass,"*If this is the 7th+ Cloud Chase card:* Repeat this card once, if possible.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Loses -1 @Hull",,,,
DC2095,Lure of an Opulent Oasis,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Left Compass,"*If this is the 8th+ Cloud Chase card:* Repeat this card, if possible, then, if possible, repeat it again.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Lose -1 @Crew",,,,
DC2096,Waster Shantytown,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Right Compass,"*If this is the 9th+ Cloud Chase card:* Repeat this card, if possible, then, if possible, repeat it again.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @Crew",,,,
DC2097,Cloud Thieves Shipyard,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Up Compass,"*If this is the last Cloud Chase card:* Repeat this card, if possible, then, if possible, repeat it again, then, if possible, repeat it for a third and final time.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @Hull",,,,
DC2098,Downed Debt Ark,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Down Compass,"*If this Cloud Chase card would go over a tile with a Cloud Chase card:* Repeat this card once, if possible.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Lose -1 @BabelianDebt",,,,
DC2099,Skygazing Titan,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Down Compass,"*If this Cloud Chase card would go over a tile with a Cloud Chase card:* Repeat this card, if possible, then, if possible, repeat it again.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @Titan",,,,
DC2100,Shadow of a Debt Ark,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Any Compass,"*If this Cloud Chase card would go over a tile with a Cloud Chase card:* Repeat this card, if possible, then, if possible, repeat it again.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @BabelianDebt",,,,
DC2101,Meteorological Tower,Clue,Odyssey,Cycle IV,Mini American,,Cloud Chase,Story,2B,,Any Compass,"*If this Cloud Chase card would go over a tile with a Cloud Chase card:* Repeat this card, if possible, then, if possible, repeat it again, then, if possible, repeat it for a third and final time.<<NL>> If this is the last card played, you've found the Hanging Gardens! See 0094. Gain +1 @ArgoKnowledge",,,,
DC2102,Scheherazade,Clue,Odyssey,Cycle IV,Mini American,,Ally,Ally,,,,"At the start of Story 2A, without looking, discard 1 card from the City of Splendor deck. You may dismiss Scheherazade at the end of any Voyage Phase. If you do, see 0095",,,,
DC2103,Law of Bargains,Clue,Odyssey,Cycle IV,Mini American,,Cipher,Story,1A,,,"The God-King granted his people the Law of Bargains, so the senseless bloodshed over petty squabbles could end, for he saw them as more than --Babelian Text--yphon.<<NL>><<NL>>--Babelian Text--",,,,
DC2104,The Royal Game,Clue,Odyssey,Cycle IV,Mini American,,Cipher,Story,1B,,,"Many games are played across Immortal --Babelian Text--ersia, for its citizens enjoy personal growth and free time, luxuries not afforded previously, under the rule of the gods.<<NL>><<NL>>--Babelian Text--",,,,
DC2105,Wish-Veil,Clue,Odyssey,Cycle IV,Mini American,,Cipher,Story,2A,,,"So great was the wealth he had accumulated that it became like a second sun, blinding to all but the most wealthy citizens, like --Babelian Text--roesus or Midas. Thus it was hidden by a powerful veil woven of wishes.<<NL>><<NL>>--Babelian Text--",,,,
DC2106,Hanging Gardens,Clue,Odyssey,Cycle IV,Mini American,,Cipher,Story,2A,,,"They are not one of, but the wonder of the World, a symbol of the wealth and power generated by the --Babelian Text--nfinite Growth of Persia's system, and a promise that each and every one of its citizens can either aspire to one day walk its fabulous halls, or simply wait for its opulence to trickle down<<NL>><<NL>>--Babelian Text--",,,,
DC2107,Pandora's Jar,Clue,Odyssey,Cycle IV,Mini American,,Cipher,Story,2B,,,"The Empire is as the --Babelian Text--un above, brilliant and eternal, and its Great Tower will take us to the stars, so the Infinite Growth can continue to the vacant heavenly realms.<<NL>><<NL>>--Babelian Text--",,,,
DC2108,The Mural,Clue,Odyssey,Cycle IV,Mini American,,Cipher,Story,3B,,,--Babelian Text--,,,,
DC2109,Stolen Clouds,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Message,Other,,,,At any time you may cross out 1 Stolen Clouds tally mark to lose -1 @ArgoFate,The truth of the stolen clouds. Will you help spread the word?,,,
DC2110,Unbestowed,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Message,Other,,,,At any time you may cross out 1 Unbestowed tally mark to lose -1 @BabelianDebt,What was uprooted needs to be replanted,,,
DC2111,Day After Tomorrow,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Message,Other,,,,"*Cursed Trait*. Add this Trait to every Cycle IV Battle. When you gain more than 1 Midas token, give 1 of those tokens to another random Titan","The Aristotelian command has declared victory, yet many continue to fight",,,
DC2575,Rule One,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Infinite Climb,Rule One,,,,"If the numbers match, you move the Titan and the Entrance the indicated number of spaces and leave these cards face-up (first the Entrance, then the Titan!). Then, move the Entrance one additional spaces. Finally, remove any Midas tokens from these cards and move the Titan again for each one you removed",,,,
DC2576,Rule Two,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Infinite Climb,Rule Two,,,,"If the numbers don't match and both are odd, move the Entrance by the higher value and place a Midas token on that card",,,,
DC2577,Rule Three,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Infinite Climb,Rule Three,,,,"If the numbers don't match and both are even, move the Entrance by the lower value and place a Midas token on that card",,,,
DC2578,Rule Four,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Infinite Climb,Rule Four,,,,"If the numbers don't match and one is odd and the other is even, neither the Titan nor the Entrance move",,,,
DC2579,Rule Five,Clue,Odyssey,Cycle IV,Mini American,Secret Deck 10,Infinite Climb,Rule Five,,,,"Sadly, as the Empire chases Infinite Growth, time grows shorter: *Immediately lose 1 Grip and 1 round*. Do this only once",,,,
EC2667,Unreliable Intel V,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at IV (062) or VI (059). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC2668,Unreliable Intel IV,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at V (076) or III (021). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC2669,Unreliable Intel VI,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at V (076) or I (026). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC2670,Unreliable Intel III,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at II (003) or I (026). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC2671,Unreliable Intel I,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at II (003), VII (009), or VI (059). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC2672,Unreliable Intel II,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at III (021) or I (026). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC2673,Unreliable Intel VII,Clue,Odyssey,Cycle V,Mini American,,Atlantean Coordinates,Story,2B,,,"White Haven is located at I (026) or VI (059). If you start the Story Step on one of these underwater @City, see 1037",The locations of Atlantean cities are a closely guarded secret. The clues you are given refer to the Great Atlantean Spiral,,,
EC3197,Liaison,Clue,Odyssey,Cycle V,Mini American,,Ally,Story,1B,,,"Write ""Liaison"" in the Boons, Afflictions, and Notes section of the Argo Sheet.<<NL>><<NL>>You may dismiss the Liaison at the end of any Voyage Phase. You must dismiss them if you removed your last Liaison tally mark. In both cases, see 0101",Cold and aloof,,,
