Card ID,Name,Game,Card Type,Cycle,Used For,Card Size,Found In,Flavor,Sub-Type,Effects,Condition?,Minor Direction,Major Number,Sign,FAQ,Errata
DM2561,Severely Aurified,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Major,{Midas 2},,,6,-,,
DM2562,Yearning for a Wish,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Major,Gain the [Wishagog|DL2011] Condition card,,,7,-,,
DM2563,Moonward Gust,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Major,"Zone 3 (originating from the Titan, including them): {Float}",,,8,-,,
DM2564,Cursed Land,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Grave,Gain a random Curse Affliction,,,,-,,
DM2565,Gravely Aurified,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Grave,{Midas 4},,,,-,,
DM2566,Earthward Gust,Odyssey,Trauma,Cycle IV,Cycle IV,Mini American,,,Grave,"If you have a Cursed Affliction, Awaken. If not, stand up. You may gain +1 @Rage, immediately perform {Hermes Move 3} and a *Bonus Attack!*",,,,+,,
EM2620,Primal Fear,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Minor,Gain the [Fear|AL0299] Condition card,,Down,,-,,
EM2621,It Burns,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Minor,{Burn}. Gain 1 Ambrosia token,,Choose,,-,,
EM2622,A Slit of Mind,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Minor,Gain the [Terror|EL2596] Condition card,,Choose,,-,,
EM2623,Doubts,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Minor,Gain 1 Despair token,,Choose,,-,,
EM2624,Pain of Dying,Odyssey,Trauma,Cycle V,Titan X,Mini American,,,Minor,Gain 1 Pain token,,Choose,,-,,
EM2625,Primal Dread,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Major,Gain the [Dread|AL0299] Condition card,,,5,-,,
EM2626,It Sears,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Major,{Burn}. Gain 2 Ambrosia tokens,,,6,-,,
EM2627,A Gap of Heart,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Major,Gain the [Holy Terror|EL2596] Condition card,,,7,-,,
EM2628,Crisis of Hope,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Major,Gain 2 Despair tokens,,,8,-,,
EM2629,Pain of Living,Odyssey,Trauma,Cycle V,Titan X,Mini American,,,Major,Gain 2 Pain tokens,,,0,-,,
EM2630,Immolation,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Grave,{Burn}. Gain 3 Ambrosia tokens,,,,-,,
EM2631,A Tear of Soul,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Grave,Gain the [Holy Terror|EL2596] Condition card and 3 Despair tokens,,,,-,,
EM2632,Light in the Black,Odyssey,Trauma,Cycle V,Cycle V,Mini American,,,Grave,Stand up and gain the [Bravery|EL2600] Condition card. You may gain +1 @Rage. You may immediately move up to 5 spaces and perform a Bonus Attack!,,,,+,,
EM2633,Pain of Being,Odyssey,Trauma,Cycle V,Titan X,Mini American,,,Grave,Gain 3 Pain tokens,,,,-,,
AM0349,Awakening,Odyssey,Trauma,Cycle I,,Mini American,Secret Deck 02,Light our darkest hour..,Grave,"You may gain +1 @ArgoFate to Awaken, @Adversary",,,,+,,
AM0355,You died,Odyssey,Trauma,Cycle I,,Mini American,Secret Deck 02,Light our darkest hour..,Obol,"Roll a d10. On a 10, you Awaken instead, @Adversary!",,,,-,,
BM0689,You Live!,Odyssey,Trauma,Cycle II,,Mini American,Secret Deck 05,Hope will get you through,Obol,You may gain +1 @Rage,,,,+,,
BM0690,You live!,Odyssey,Trauma,Cycle II,,Mini American,Secret Deck 05,By the power of Mortal Tenacity...,Obol,You may gain +1 @Rage and/or lose -1 @Fate,,,,+,,
DM2567,You died a beggar!,Odyssey,Trauma,Cycle IV,,Mini American,Secret Deck 10,Abundance has improverished you..,Obol,"Roll a d10. On a 10, you Awaken instead, @Adversary!. <End of Battle> Permanently lose 1 equipped Unique Weapon @Gear card!",,,,-,,
AM9969,Punctured,Odyssey,Trauma,Cycle V,,Mini American,Promo,,Major,"If you're using the [Scarred|AX9968] Trait, for the duration of this Battle, add this card to the Trauma deck. Gain as much @Danger as you were just dealt",,,8,-,,
ZM9982,Formidable Gut,Odyssey,Trauma,Cycle II,,Mini American,Promo,,Major,"If you're controlling the [Firestarter|BK0655], the Harbinger, or the Treejumper, for the duration of this Battle add this card to the Trauma deck. You may ignore the next Knockback or Pushback you would suffer. When you do, discard this card",Body,,6,+,,
,Windswept,Odyssey,Trauma,Cycle IV,,Mini American,Promo,,Major,,,,,,,
BM9973,Deathtouched,Odyssey,Trauma,Cycle II,,Mini American,Promo,,Grave,"If you're fighting the Nietzschea, for the duration of the Battle, add this card to the Trauma deck.<<NL>>Gain +2 @Rage and +2 @Danger",,,,-,,
AM0360,Your Death Transcends Reality,Odyssey,Trauma,Cycle I,,Mini American,Envelope H,And I to my pledged word am true. I shall not fail that rendezvous,Obol,"Awaken into the [Hades|AQ0629] Godform if it is available, @Adversary. Otherwise, you die",,,,-,,
