Card ID,Name,Game,Render Type,Card Size,Cycle,Found In,Acquisition,Flavor,Slot,Transforms Into,Traits,Attack Dice,Precision,Power,Defensive Statistics,Backside text,Asterisk Effect,AB for Parsing,Ability Box Literal,Secrets,FAQ,Errata
"AJ0245, AJ0246",Bull Aspis,Odyssey,Gear,Mini American,Cycle I,,Crafting,This will make them angry,1 Hand,,"Metal, Bronze, Shield",3,+1,1 Red,3 Reroll,,,{Diversion}. <Crit Evade> Place 1 Diversion token in the Kratos Pool. %Danger 5+% {Tumble},,,,
"AJ0247, AJ0248",Maze Rake,Odyssey,Gear,Mini American,Cycle I,,Crafting,This is how they led the prisoners to the Labyrinth,2 Hands,,"Bone, Wood, Spear, Flammable",2,+2,1 Red. +1 Red,,,,"{Reach 2}. {Pull 1}. {Reposition 1}. During an Attack, ignore Labyrinth tiles for the purposes of Line of Sight and adjacency. %Danger 5+% {Opening 2}",,,,
"AJ0249, AJ0250",Whaler Javelin,Odyssey,Gear,Mini American,Cycle I,,Crafting,Come over here!,2 Hands,,"Bone, Javelin",2,+1,2 Red,,,,{Ranged 2-4}. {Pull 1}. {Cumbersome}. {Commit}. %Danger 5+% {Break 2},,,,
"AJ0251, AJ0252",Hullbow,Odyssey,Gear,Mini American,Cycle I,,Crafting,Let it rip!,2 Hands,,"Wood, Bow, Flammable",2,+3,1 Black,,,,{Ranged 3-5}. {Diversion}. {Cumbersome}. {Commit}. %Danger 5+% {Opening 1}. {Break 1},,,,
AJ0253,Ariadne's Hello,Odyssey,Gear,Mini American,Cycle I,,Crafting,You only get one chance to make a first impression,1 Hand,,"Whip, Primordial, Divine",3,+2,1 Red. Danger 8+ +1 Power,,,,Unique. {Reach 2}. {Provoke}. {Commit}. <Full Hit> {Diversion},,,,
AJ0254,Gigas,Odyssey,Gear,Mini American,Cycle I,,Crafting,"Chief among them was Gigas, the Left Hand of Gaia",3 Hands,,"Club, Slabsword, Primordial, Labyrinth",2,+0,1 Black. +1 Black. Danger 6+ +1 Power,,,,Unique. -1 @Speed. {Auto-break 1}. {Pushback 2}. {Reach 2}. {Cumbersome}. {Commit}. <Full Miss> Place 2 Break or Opening tokens in the Kratos Pool,,,,
AJ0255,Mazemmer,Odyssey,Gear,Mini American,Cycle I,,Crafting,It is better to be the hammer than the anvil,2 Hands,,"Metal, Club, Hammer, Primordial",1,+2,2 Black. +1 Red. Danger 6+ +1 Power,,,,Unique. <Crit Miss> Gain +2 @Danger. Ignore Wound Responses. $Fate <Wound> {BP Suppress},,,,
AJ0256,Ariadne's Goodbye,Odyssey,Gear,Mini American,Cycle I,,Crafting,I don't like long goodbyes,1 Hand,,"Whip, Primordial, Divine",4,+2,1 Red. Danger 7+ +1 Power,,,,Unique. {Reach 2}. {Deadly}. {Provoke}. {Commit}. <Full Hit> {Diversion},,,,
AJ0257,Shieldblade,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Crit Loot,The patterns on this arm seem to change when you're not looking,2 Hands,,"Labyrinth, Primordial, Sword, Shield",2,+0,1 Black. Danger 6+ +1 Power,,,,Unique. -1 @Speed. {Cumbersome}. {Knockback Reduction 1}. $Fate $Exhaust {Block 1}. <Full Miss> Place 1 Break token in the Kratos Pool,,,,
AJ0258,The Promise,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,In the kingdom of Argyros the Sun does not rise,2 Hands,,"Hephaestum, Metal, Sword, Ship",2,+1,2 Red,,,,"Unique. {Overbreak 2}. <Crit Miss> Gain +1 @Danger, +1 @Fate. *Dog Days Are Over:* When you deal a Critical Wound, lose -1 @Strangers. %Danger 7+% {Overbreak 2}",,,,
AJ0259,Mazemace,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Crit Loot,Made from a motor mechanism of the Labyrinthauros,2 Hands,,"Metal, Primordial, Club",1,+0,2 Black. Danger 8+ +1 Power,,,,Unique. Ignore Wound Responses. <Full Miss> Place 1 Break or 1 Opening token in the Kratos Pool,,,,
AJ0260,Glimmer Shroud,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Crit Loot,The shroud of the Bull was said to be knitted with Ariadne's thread,Armor,,"Primordial, Cloth, Shoal, Flammable, Silk",,,,4 Reroll,,,Unique. {Tumble}. Ignore Crash and Obol Draws caused by {Trample}. %Danger 6+% <Full Evade> You may immediately perform an additional @MovementAction,,,,
AJ0261,Pursuer Imperative,Odyssey,Gear,Mini American,Cycle I,,Crafting,The Hermesian Pursuer taught us well: you're either fast or you're dead,Support,,"Primordial, Ambrosia, Argotech, Helm",,,,,,,Unique. Ascended. <Reaction> $Fate $Exhaust {Advanced Reflex},,,,
"AJ0262, AJ0263",Mothlame,Odyssey,Gear,Mini American,Cycle I,,Crafting,It's in the name,Support,,"Primordial, Cloak, Skin, Flammable",,,,,,,"Ascended. <Reaction> $Fate $Exhaust When resovling an AI card, if you're not the Target, move 3 spaces in a straight line in the same direction as the Primordial",,,,
AJ0264,Hermes Tatters,Odyssey,Gear,Mini American,Cycle I,,Crafting,All that remains,Armor,,"Cloth, Cloak, Flammable",,,,,,,Unique. Ascended. {Tumble}. {Reposition 2}. $Fate $Exhaust {Dodge}. %Danger 4+% $Discard Remove up to 2 Ambrosia tokens from yourself or an adjacent Titan,,,,
"AJ0266, AJ0267",Trireme Breastplate,Odyssey,Gear,Mini American,Cycle I,,Crafting,All those nooks and crannies can hold additional equipment,Armor,,"Wood, Flammable",,,,2 Red,,,Ascended. You have 1 additional @Support slot,,,,
AJ0268,Theseus's Razor,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,A Knife So Sharp...,1 Hand,,"Metal, Primordial, Divine, Sword",1,+3,4 Red,,,,"Unique. {Carving 1}. {Power Re-roll 1}. During an Attack, ignore Labyrinth tiles for the purposes of Line of Sight and adjacency. When you are about to gain at least 1 Despair token, roll a d10 per token. For each 6+ result, lower this gain by 1. %Danger 6+% {Power Re-roll 1}",,,,
AJ0269,Minohead,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,"Those engravings, are those tears you see?",Support,,"Primordial, Augment, Helm",,,,1 Reroll. 1 Red,,,"Unique. $Fate $Fate $Exhaust {Provoke}. When you use Provoke on this card, place a Diversion token in the Kratos Pool. %Danger 6+% You may use Provoke on this card as @Reaction",,,,
AJ0270,Medusalem,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,Even the witch of the West must bow to the curse of the East,1 Hand,,"Metal, Hephaestum, Divine, Shield",2,+0,1 Red,1 Black,,,Unique. $Fate $Exhaust {Block 1}. $Fate $Exhaust {Superior Stanch} (@Ambrosia). <Crit Evade> Place 2 Opening and/or Break tokens in the Kratos Pool,,,,
"AJ0271, AJ0272",Ancient Siren Panoply Armor,Odyssey,Gear,Mini American,Cycle I,,Crafting,This siren saw the fall of the Bronze World,Armor,,"Shell, Primordial",,,,1 Red,,,$Fate {Reinforce 2}. {Ambrosia Limit 5},,,,
AJ0273,Nail Spear,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Crit Loot,"These nails, long and ever sharp, evolved for killing, not for hunting",2 Hands,,"Spear, Primordial",3,+0,1 Red. +1 Red,,,,Unique. Ascended. {Reach 2}. {Reposition 2}. {Carving 1}. Disable the [Toying|EX3219] Pursuer Trait. %Danger 7+% $Fate {Heartseeker},,,,
AJ0274,Unsolved Enigma,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,All will be transformed,Support,,"Primordial, Alive",,,,,,,"Unique. $Fate $Exhaust During an Attack, change up to 3 Break tokens in the Kratos Pool into Opening tokens or vice versa. <Crit Miss> Gain +3 @Fate or the Mazetouched Affliction. %Danger 6+% When you change tokens, immediately place 1 Break or 1 Opening token in the Kratos Pool",,,,
"AJ0275, AJ0276",Morpheus Module,Odyssey,Gear,Mini American,Cycle I,,Crafting,A sleepless sleep to calm the restless,Support,,"Argotech, Augment, Helm",,,,,,,"+1 Will. $Fate $Exhaust Ignore the effects of Despair, [Fear|AL0299] or [Dread|AL0299] until the end of your turn. $Fate $Discard {Solace}. %Danger 7+% You may use this card's {Solace} ability as @Reaction",,,,
"AJ0277, AJ0278",Ambrosia Trocar,Odyssey,Gear,Mini American,Cycle I,,Crafting,Every drop counts,Attachment,,"Argotech, Tool",,,,,,,Attach to a @Gear with the _Spear_ Trait. $Discard {Carving 1},,,,
AJ0279,Vulture Mask,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Crit Loot,Why a vulture?,Support,,"Primordial, Augment, Mask",,,,1 Reroll. 1 Despair,,,Unique. Ascended. Ignore Flare Primordial Responses. Disable the [Toying|EX3219] Pursuer Trait. %Danger 6+% {Ambrosia Limit 5},,,,
AJ0280,Manos Discus,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Treasure,Repurposed destruction,1 Hand,,"Bronze, Metal, Discus",1,+1,"1 Red, 1 Black",,,,Unique. {Ranged 2-4}. {Auto-break 1}. {Opening 1}. {Cumbersome}. {Commit},,,,
AJ0281,Yarn Talisman,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,To find the way in all the dark places,Support,,"Yarn, Amulet, Divine",,,,1 Despair,,,"Unique. Titan Attachment. During an Attack, ignore Labyrinth tiles for the purposes of Line of Sight and adjacency",,,,
AJ0282,"Mazey, the Labyrinthian Dog",Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,A Godzilla among pugs,Attachment,,"Dog, Labyrinth, Pug, Cherished Companion",,,,,,,"Unique. Ascended. Titan Attachment. +1 to Judgement Tests. $Discard When you are about to die from the [Fear|AL0299] or [Dread|AL0299] Condition cards, ignore this death. $Discard WHen you are about to die from Despair, ignore this death and lower the number of your Despair tokens to 3",,,,
AJ0283,Eschaton Stones,Odyssey,Gear,Mini American,Cycle I,Secret Deck 02,Story,Burden hardest to birth,Attachment,,"Stones, Kidneys, Pain",,,,,,,"Unique. {Argonaut Possession}. Titan Attachment. <Start of Battle> Gain +1 @Rage. <Start of your turn> Gain +1 @Danger. *Stone Threshold:* When you gain this card, the threshold is 0 (note it on your Argonaut Sheet). <End of Battle> Roll a die, if it's above the Stone Threshold, raise the Stone Threshold by 1. If it's equal or below, pass the Stones (remove them from the game) and gain 1 Mnemos node.<<NL>>If you experience a Dream of Pharos while you have the Eschaton Stones, see Dream 11 (Cycle I Storybook)",,,,
"BJ0827, BJ0828",Labyrinth Armor,Odyssey,Gear,Mini American,Cycle II,,Crafting,"These maze stones have been cleared through quarantine, yet they still reconfigure, once in a while",Armor,,"Labyrinth, Stone, Primodial",,,,2 Red,,,"Knockback Reduction 1. Pushback Reduction 1. <Start of your turn> Unexhaust this card. <Crit Evade> You may immediately perform {Pushback 2}. %Danger 4+% When you are about to suffer Knockdown, roll a d10. On 6+, ignore it",,,,
"BJ0829, BJ0830",Temenos Scale Shield,Odyssey,Gear,Mini American,Cycle II,,Crafting,,1 Hand,Temenos Scale Umbrella,"Stone, Labyrinth, Primordial, Shield",2,+1,1 Red,2 Reroll,,,{Opening 1}. $Fate {Transform}. $Fate $Exhaust {Block 1}. %Labyrinth 4+% You may use {Transform} as @Reaction. %Danger 6+% <Crit Evade> Place 1 negative @AT token in the Kratos Pool,,,,
"BJ0829, BJ0830",Temenos Scale Umbrella,Odyssey,Gear,Mini American,Cycle II,,Crafting,,1 Hand,Temenos Scale Shield,"Flesh, Hermetic, Umbrella, Flammable, Primordial",,,,,,,$Fate {Transform}. $Fate $Discard {Second Chance}. %Danger 4+% <Crit Evade> Place 1 {Diversion} token in the Kratos Pool,,,,
"BJ0831, BJ0832, BJ0833, BJ0834",Labyrinthization,Odyssey,Gear,Mini American,Cycle II,,Crafting,Leaving a siren shell in a highly mazed environment leads it to take on the characteristics of Temenos. It's quite brittle though,Attachment,,"Stone, Labyrinth",,,,,,,Attach to a Weapon or Armor with the _Shell_ Trait. That @Gear becomes _Labyrinthized_ (becomes Power Level II). It loses the _Shell_ Trait and gains this Attachment's Traits instead. <End of Battle> Permanently lose this card and the @Gear card it is attached to. %Danger 6+% {Auto-break 1},,,,
"BJ0835, BJ0835",Labyrinth Mauler,Odyssey,Gear,Mini American,Cycle II,,Crafting,Made from the Alpha Temenos's giant tooth,2 Hands,,"Stone, Primordial, Labyrinth, Club",1,+1,"1 Red, 1 Black",,,,{Auto-break 1}. {Overbreak 1}. {Cumbersome}. <Full Miss> Place 1 Break token in the Kratos Pool. %Labyrinth 2+% {Daze}. %Labyrinth 4+% Ignore {Cumbersome}. %Danger 6+% {Auto-break 1},,,,
"BJ0837, BJ0838",Puzzle Axe,Odyssey,Gear,Mini American,Cycle II,,Crafting,"It's like a riddle, more powerful with each uncovered piece",1 Hand,,"Stone, Primordial, Labyrinth, Axe",1,+1,3 Red,,,,{Auto-break 1}. {Opening 1}. %Labyrinth 2+% {Carving 1}. %Labyrinth 3+% +1 Precision. %Labyrinth 4+% {Deadly}. %Labyrinth 5+% {Auto-break 1}. %Danger 7+% {Rouse 1},,,,
"BJ0839, BJ0840",Temenos Xiphos,Odyssey,Gear,Mini American,Cycle II,,Crafting,,1 Hand,Temenos Whip,"Stone, Primordial, Labyrinth, Sword",1,+2,2 Red,,,,$Fate {Transform}. {Power Re-roll 1}. {Break 1}. %Labyrinth 2+% {Break 1}. %Danger 5+% {Power Re-roll 1},,,,
"BJ0839, BJ0840",Temenos Whip,Odyssey,Gear,Mini American,Cycle II,,Crafting,,1 Hand,Temenos Xiphos,"Flesh, Primordial, Whip, Flammable",3,+0,1 Red,,,,$Fate {Transform}. {Reach 2}. {Provoke}. {Opening 1}. %Danger 6+% {Spotlight},,,,
"BJ0841, BJ0842, BJ0843",Amphoras Belt,Odyssey,Gear,Mini American,Cycle II,,Crafting,"A cornucopia of useful concoctions, acids and elixirs, most of them deadly",Support,,"Cloth, Argotech, Belt, Flammable",,,,2 Energy,,,<Reaction> $Fate $Energy {Combo Breaker: 2 spaces}. %Danger 5+% <Reaction> $Fate $Discard {Self Combo Breaker: 2 spaces}. For this ability treat this card as a Weapon with the valid Trait,,,,
BJ0844,Stepping Stone,Odyssey,Gear,Mini American,Cycle II,,Crafting,A megalithic building block - to give a friend a leg up,Support,,"Stone, Argotech",,,,,,,"Unique. Mount. Weighty. -1 @Speed. You may reduce suffered Knockbacks and Pushbacks by 1. You cannot {Jump} or {Vault}. %Danger 5+% $Discard When a Titan successfully climbs a Primordial VP from the _Stepping Stone_, that Titan gains +1 @Power for their next Attack",,,,
